start,year,month,day,hour,rueckgaben_predict,rueckgaben_real,ausleihen_real,ausleihen_predicted,real_differenz,predicted_differenz,differenz_mape
2019-05-29 11:00:00,2019,5,29,11,11.704809,7,14,15.658997,7,3.9541880000000003,43.511599999999994
2019-05-29 12:00:00,2019,5,29,12,15.234741,12,14,12.6442175,2,-2.5905234999999998,229.526175
2019-05-29 13:00:00,2019,5,29,13,11.288912,14,8,13.82855,-6,2.539638,142.3273
2019-05-29 14:00:00,2019,5,29,14,11.867088,12,9,9.149624,-3,-2.7174640000000014,9.417866666666619
2019-05-29 15:00:00,2019,5,29,15,18.90982,15,15,20.731052,0,1.8212319999999984,0.0
2019-05-29 16:00:00,2019,5,29,16,30.04014,27,21,21.868063,-6,-8.172077000000002,36.201283333333365
2019-05-29 21:00:00,2019,5,29,21,4.635923,6,9,9.141687,3,4.505763999999999,50.19213333333331
2019-05-30 06:00:00,2019,5,30,6,11.748954,14,8,7.7655387,-6,-3.9834153,33.609745000000004
2019-05-30 07:00:00,2019,5,30,7,32.441193,44,13,12.800522,-31,-19.640670999999998,36.642996774193556
2019-05-30 08:00:00,2019,5,30,8,47.226505,76,26,23.42645,-50,-23.800055000000004,52.39988999999999
2019-05-30 11:00:00,2019,5,30,11,12.551943,9,6,9.18606,-3,-3.365883,12.196100000000005
2019-05-30 12:00:00,2019,5,30,12,13.109039,13,12,9.698134,-1,-3.4109049999999996,241.09049999999996
2019-05-30 13:00:00,2019,5,30,13,13.164858,16,13,11.370058,-3,-1.7948000000000004,40.173333333333325
2019-05-30 14:00:00,2019,5,30,14,16.494781,19,23,18.485441,4,1.9906600000000019,50.23349999999995
2019-05-30 15:00:00,2019,5,30,15,18.222351,18,16,20.408628,-2,2.1862770000000005,209.31385000000003
2019-05-30 16:00:00,2019,5,30,16,18.978138,12,24,19.514778,12,0.5366399999999985,95.52800000000002
2019-05-31 06:00:00,2019,5,31,6,13.88184,15,8,8.4471855,-7,-5.434654500000001,22.36207857142856
2019-05-31 11:00:00,2019,5,31,11,17.287304,20,18,12.991836,-2,-4.295468,114.77339999999998
2019-05-31 15:00:00,2019,5,31,15,31.22117,37,34,32.34103,-3,1.1198600000000027,137.32866666666678
2019-05-31 16:00:00,2019,5,31,16,37.13388,43,39,41.944633,-4,4.810753000000005,220.26882500000013
2019-05-31 19:00:00,2019,5,31,19,38.45487,37,48,42.530167,11,4.075296999999999,62.95184545454546
2019-06-01 09:00:00,2019,6,1,9,15.973374,19,16,16.003841,-3,0.030467000000001576,101.01556666666671
2019-06-01 10:00:00,2019,6,1,10,32.201565,22,22,21.29356,0,-10.908005000000003,0.0
2019-06-01 11:00:00,2019,6,1,11,45.952255,29,26,37.37213,-3,-8.580125000000002,186.00416666666675
2019-06-01 13:00:00,2019,6,1,13,49.63608,39,37,42.262497,-2,-7.3735829999999964,268.6791499999998
2019-06-01 14:00:00,2019,6,1,14,47.804165,38,37,51.8655,-1,4.061335,506.13349999999997
2019-06-01 15:00:00,2019,6,1,15,46.984306,41,26,46.400635,-15,-0.5836709999999954,96.10886000000004
2019-06-01 16:00:00,2019,6,1,16,56.240044,35,58,55.067093,23,-1.1729509999999976,105.09978695652174
2019-06-01 17:00:00,2019,6,1,17,44.49703,50,36,54.235542,-14,9.738512,169.5608
2019-06-01 18:00:00,2019,6,1,18,32.734222,44,55,42.600822,11,9.866599999999998,10.30363636363638
2019-06-02 12:00:00,2019,6,2,12,28.349272,28,37,26.821733,9,-1.5275390000000009,116.97265555555556
2019-06-02 14:00:00,2019,6,2,14,29.920033,44,37,24.910313,-7,-5.0097200000000015,28.432571428571407
2019-06-02 16:00:00,2019,6,2,16,37.96041,60,56,35.651623,-4,-2.3087870000000024,42.28032499999994
2019-06-02 20:00:00,2019,6,2,20,9.974359,11,16,13.340021,5,3.3656620000000004,32.68675999999999
2019-06-03 10:00:00,2019,6,3,10,24.490452,23,5,12.87495,-18,-11.615502000000001,35.46943333333333
2019-06-03 15:00:00,2019,6,3,15,23.549969,28,19,23.652967,-9,0.10299799999999948,101.14442222222222
2019-06-03 16:00:00,2019,6,3,16,26.96982,31,31,25.807138,0,-1.1626820000000002,0.0
2019-06-03 19:00:00,2019,6,3,19,39.42863,53,73,45.29925,20,5.870620000000002,70.64689999999999
2019-06-04 06:00:00,2019,6,4,6,14.733394,22,9,7.9641004,-13,-6.7692936,47.92851076923077
2019-06-04 08:00:00,2019,6,4,8,73.069016,88,34,29.113897,-54,-43.955119,18.601631481481476
2019-06-04 16:00:00,2019,6,4,16,23.740421,33,19,19.096457,-14,-4.643964,66.82882857142857
2019-06-05 07:00:00,2019,6,5,7,47.89266,55,19,24.221272,-36,-23.671388,34.24614444444444
2019-06-05 08:00:00,2019,6,5,8,67.66168,93,33,28.021688,-60,-39.63999200000001,33.93334666666666
2019-06-05 09:00:00,2019,6,5,9,43.38739,33,21,21.16119,-12,-22.226200000000002,85.21833333333335
2019-06-05 13:00:00,2019,6,5,13,11.155302,8,7,9.89237,-1,-1.262932000000001,26.293200000000105
2019-06-05 15:00:00,2019,6,5,15,18.454588,20,31,19.923,11,1.4684119999999972,86.65080000000003
2019-06-05 16:00:00,2019,6,5,16,28.187849,29,25,24.404314,-4,-3.7835350000000005,5.411624999999987
2019-06-05 17:00:00,2019,6,5,17,44.368767,57,53,47.776596,-4,3.4078289999999996,185.19572499999998
2019-06-05 18:00:00,2019,6,5,18,45.985863,60,96,58.300274,36,12.314411,65.79330277777777
2019-06-05 19:00:00,2019,6,5,19,33.705463,46,54,42.76245,8,9.056987,13.212337499999993
2019-06-05 20:00:00,2019,6,5,20,23.465397,21,36,30.803362,15,7.3379650000000005,51.080233333333325
2019-06-06 05:00:00,2019,6,6,5,5.362255,8,2,1.9922811,-6,-3.3699739,43.83376833333333
2019-06-06 06:00:00,2019,6,6,6,11.734216,17,10,6.8861275,-7,-4.8480885,30.74159285714285
