year,month,day,hour,count,subrate,holidays,workday,weekday
2019,5,1,0,1,1.0,0,1,2
2019,5,1,4,1,1.0,0,1,2
2019,5,1,5,5,1.0,0,1,2
2019,5,1,6,18,0.9444444444444444,0,1,2
2019,5,1,7,34,0.9705882352941176,0,1,2
2019,5,1,8,52,1.0,0,1,2
2019,5,1,9,22,0.9545454545454546,0,1,2
2019,5,1,10,9,1.0,0,1,2
2019,5,1,11,6,0.8333333333333334,0,1,2
2019,5,1,12,10,0.6,0,1,2
2019,5,1,13,14,0.9285714285714286,0,1,2
2019,5,1,14,7,0.8571428571428571,0,1,2
2019,5,1,15,11,0.8181818181818182,0,1,2
2019,5,1,16,25,0.68,0,1,2
2019,5,1,17,44,0.8863636363636364,0,1,2
2019,5,1,18,34,0.9411764705882352,0,1,2
2019,5,1,19,14,1.0,0,1,2
2019,5,1,20,6,1.0,0,1,2
2019,5,1,21,7,1.0,0,1,2
2019,5,1,22,2,1.0,0,1,2
2019,5,1,23,2,1.0,0,1,2
2019,5,2,0,1,1.0,0,1,3
2019,5,2,4,1,1.0,0,1,3
2019,5,2,5,3,1.0,0,1,3
2019,5,2,6,12,0.8333333333333334,0,1,3
2019,5,2,7,39,1.0,0,1,3
2019,5,2,8,55,0.9636363636363636,0,1,3
2019,5,2,9,33,0.9090909090909092,0,1,3
2019,5,2,10,17,0.7647058823529411,0,1,3
2019,5,2,11,15,0.4,0,1,3
2019,5,2,12,19,0.6842105263157895,0,1,3
2019,5,2,13,17,0.9411764705882352,0,1,3
2019,5,2,14,20,0.75,0,1,3
2019,5,2,15,39,0.5897435897435898,0,1,3
2019,5,2,16,29,0.7241379310344828,0,1,3
2019,5,2,17,48,0.8541666666666666,0,1,3
2019,5,2,18,36,0.9444444444444444,0,1,3
2019,5,2,19,19,0.7368421052631579,0,1,3
2019,5,2,20,5,0.6,0,1,3
2019,5,2,21,2,1.0,0,1,3
2019,5,2,22,1,0.0,0,1,3
2019,5,2,23,2,1.0,0,1,3
2019,5,3,2,1,1.0,0,1,4
2019,5,3,5,5,1.0,0,1,4
2019,5,3,6,10,0.9,0,1,4
2019,5,3,7,31,1.0,0,1,4
2019,5,3,8,55,1.0,0,1,4
2019,5,3,9,17,1.0,0,1,4
2019,5,3,10,7,0.7142857142857143,0,1,4
2019,5,3,11,13,0.6153846153846154,0,1,4
2019,5,3,12,10,0.7,0,1,4
2019,5,3,13,13,0.7692307692307693,0,1,4
2019,5,3,14,12,0.9166666666666666,0,1,4
2019,5,3,15,18,0.6111111111111112,0,1,4
2019,5,3,16,25,0.8,0,1,4
2019,5,3,17,34,0.8823529411764706,0,1,4
2019,5,3,18,24,0.8333333333333334,0,1,4
2019,5,3,19,20,0.8,0,1,4
2019,5,3,20,4,1.0,0,1,4
2019,5,3,21,6,0.8333333333333334,0,1,4
2019,5,3,22,9,0.6666666666666666,0,1,4
2019,5,3,23,1,1.0,0,1,4
2019,5,4,0,2,0.0,0,0,5
2019,5,4,6,1,1.0,0,0,5
2019,5,4,7,1,1.0,0,0,5
2019,5,4,8,3,1.0,0,0,5
2019,5,4,9,13,0.8461538461538461,0,0,5
2019,5,4,10,19,0.5789473684210527,0,0,5
2019,5,4,11,27,0.6666666666666666,0,0,5
2019,5,4,12,17,0.5882352941176471,0,0,5
2019,5,4,13,17,0.7647058823529411,0,0,5
2019,5,4,14,34,0.5882352941176471,0,0,5
2019,5,4,15,51,0.7058823529411765,0,0,5
2019,5,4,16,59,0.4067796610169492,0,0,5
2019,5,4,17,44,0.5227272727272727,0,0,5
2019,5,4,18,24,0.375,0,0,5
2019,5,4,19,17,0.5882352941176471,0,0,5
2019,5,4,20,10,0.5,0,0,5
2019,5,4,21,3,0.6666666666666666,0,0,5
2019,5,4,22,3,0.3333333333333333,0,0,5
2019,5,5,1,4,0.0,0,0,6
2019,5,5,6,1,1.0,0,0,6
2019,5,5,8,1,1.0,0,0,6
2019,5,5,10,4,0.75,0,0,6
2019,5,5,12,11,1.0,0,0,6
2019,5,5,13,5,1.0,0,0,6
2019,5,5,14,7,0.8571428571428571,0,0,6
2019,5,5,15,4,1.0,0,0,6
2019,5,5,16,6,1.0,0,0,6
2019,5,5,17,10,0.9,0,0,6
2019,5,5,18,2,1.0,0,0,6
2019,5,5,19,3,1.0,0,0,6
2019,5,5,20,1,1.0,0,0,6
2019,5,6,5,5,1.0,0,1,0
2019,5,6,6,18,0.9444444444444444,0,1,0
2019,5,6,7,41,0.975609756097561,0,1,0
2019,5,6,8,90,0.9222222222222224,0,1,0
2019,5,6,9,40,0.85,0,1,0
2019,5,6,10,26,0.6538461538461539,0,1,0
2019,5,6,11,26,0.4230769230769231,0,1,0
2019,5,6,12,32,0.40625,0,1,0
2019,5,6,13,13,0.6153846153846154,0,1,0
2019,5,6,14,27,0.6666666666666666,0,1,0
2019,5,6,15,24,0.8333333333333334,0,1,0
2019,5,6,16,16,0.8125,0,1,0
2019,5,6,17,52,0.75,0,1,0
2019,5,6,18,42,0.9047619047619048,0,1,0
2019,5,6,19,32,0.71875,0,1,0
2019,5,6,20,8,1.0,0,1,0
2019,5,6,21,10,0.9,0,1,0
2019,5,6,22,1,1.0,0,1,0
2019,5,6,23,2,0.0,0,1,0
2019,5,7,5,6,0.8333333333333334,0,1,1
2019,5,7,6,17,0.9411764705882352,0,1,1
2019,5,7,7,41,0.975609756097561,0,1,1
2019,5,7,8,64,0.953125,0,1,1
2019,5,7,9,42,0.9047619047619048,0,1,1
2019,5,7,10,19,0.7368421052631579,0,1,1
