year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2015,1,11,16,11,0.7272727272727273,0,6,0
2015,1,11,17,5,0.8,0,6,0
2015,1,11,18,1,1.0,0,6,0
2015,1,11,19,2,1.0,0,6,0
2015,1,11,20,1,1.0,0,6,0
2015,1,11,22,1,1.0,0,6,0
2015,1,12,0,1,1.0,0,0,1
2015,1,12,7,5,1.0,0,0,1
2015,1,12,8,5,1.0,0,0,1
2015,1,12,9,3,1.0,0,0,1
2015,1,12,11,2,1.0,0,0,1
2015,1,12,15,1,1.0,0,0,1
2015,1,12,16,1,1.0,0,0,1
2015,1,12,17,5,1.0,0,0,1
2015,1,12,18,4,1.0,0,0,1
2015,1,12,19,8,1.0,0,0,1
2015,1,12,20,1,1.0,0,0,1
2015,1,12,21,3,0.0,0,0,1
2015,1,13,6,1,1.0,0,1,1
2015,1,13,7,1,1.0,0,1,1
2015,1,13,8,6,1.0,0,1,1
2015,1,13,9,3,1.0,0,1,1
2015,1,13,10,1,1.0,0,1,1
2015,1,13,12,1,1.0,0,1,1
2015,1,13,13,4,1.0,0,1,1
2015,1,13,14,4,1.0,0,1,1
2015,1,13,15,5,1.0,0,1,1
2015,1,13,16,1,1.0,0,1,1
2015,1,13,17,6,1.0,0,1,1
2015,1,13,18,7,1.0,0,1,1
2015,1,13,19,3,1.0,0,1,1
2015,1,13,20,1,1.0,0,1,1
2015,1,14,6,2,1.0,0,2,1
2015,1,14,7,4,1.0,0,2,1
2015,1,14,8,5,1.0,0,2,1
2015,1,14,9,4,1.0,0,2,1
2015,1,14,11,2,1.0,0,2,1
2015,1,14,12,4,1.0,0,2,1
2015,1,14,14,2,1.0,0,2,1
2015,1,14,15,2,1.0,0,2,1
2015,1,14,16,1,1.0,0,2,1
2015,1,14,17,13,1.0,0,2,1
2015,1,14,18,10,1.0,0,2,1
2015,1,14,19,3,1.0,0,2,1
2015,1,14,20,2,1.0,0,2,1
2015,1,15,7,5,1.0,0,3,1
2015,1,15,8,8,1.0,0,3,1
2015,1,15,9,6,1.0,0,3,1
2015,1,15,10,1,1.0,0,3,1
2015,1,15,12,2,1.0,0,3,1
2015,1,15,13,5,0.8,0,3,1
2015,1,15,14,3,0.6666666666666666,0,3,1
2015,1,15,15,6,1.0,0,3,1
2015,1,15,16,2,1.0,0,3,1
2015,1,15,17,5,1.0,0,3,1
2015,1,15,18,9,1.0,0,3,1
2015,1,15,19,6,1.0,0,3,1
2015,1,15,21,2,1.0,0,3,1
2015,1,15,22,3,0.3333333333333333,0,3,1
2015,1,16,7,3,1.0,0,4,1
2015,1,16,8,9,1.0,0,4,1
2015,1,16,9,5,1.0,0,4,1
2015,1,16,10,3,1.0,0,4,1
2015,1,16,12,3,0.6666666666666666,0,4,1
2015,1,16,13,3,1.0,0,4,1
2015,1,16,14,8,1.0,0,4,1
2015,1,16,15,6,1.0,0,4,1
2015,1,16,16,6,1.0,0,4,1
2015,1,16,17,7,1.0,0,4,1
2015,1,16,18,3,1.0,0,4,1
2015,1,16,19,3,1.0,0,4,1
2015,1,16,20,2,1.0,0,4,1
2015,1,16,22,1,1.0,0,4,1
2015,1,17,9,2,1.0,0,5,0
2015,1,17,10,3,1.0,0,5,0
2015,1,17,11,5,0.6,0,5,0
2015,1,17,12,2,0.5,0,5,0
2015,1,17,13,1,1.0,0,5,0
2015,1,17,14,2,1.0,0,5,0
2015,1,17,15,3,0.6666666666666666,0,5,0
2015,1,17,16,8,0.75,0,5,0
2015,1,17,17,5,0.8,0,5,0
2015,1,17,18,1,1.0,0,5,0
2015,1,18,15,1,1.0,0,6,0
2015,1,18,20,1,1.0,0,6,0
2015,1,19,7,1,1.0,1,0,0
2015,1,19,8,2,1.0,1,0,0
2015,1,19,9,3,1.0,1,0,0
2015,1,19,10,3,1.0,1,0,0
2015,1,19,11,4,0.75,1,0,0
2015,1,19,12,5,1.0,1,0,0
2015,1,19,13,3,1.0,1,0,0
2015,1,19,14,7,0.7142857142857143,1,0,0
2015,1,19,15,3,0.3333333333333333,1,0,0
2015,1,19,16,4,0.25,1,0,0
2015,1,19,17,4,1.0,1,0,0
2015,1,19,18,4,1.0,1,0,0
2015,1,19,19,4,1.0,1,0,0
2015,1,19,20,3,1.0,1,0,0
2015,1,19,21,1,1.0,1,0,0
2015,1,20,7,3,1.0,0,1,1
2015,1,20,8,9,1.0,0,1,1
2015,1,20,9,7,1.0,0,1,1
2015,1,20,10,4,1.0,0,1,1
2015,1,20,11,3,1.0,0,1,1
2015,1,20,12,3,1.0,0,1,1
2015,1,20,13,4,1.0,0,1,1
2015,1,20,14,4,1.0,0,1,1
2015,1,20,15,7,0.7142857142857143,0,1,1
2015,1,20,16,3,1.0,0,1,1
2015,1,20,17,8,1.0,0,1,1
2015,1,20,18,9,1.0,0,1,1
2015,1,20,19,4,1.0,0,1,1
2015,1,20,20,3,1.0,0,1,1
2015,1,20,21,2,1.0,0,1,1
2015,1,21,1,1,1.0,0,2,1
2015,1,21,7,2,1.0,0,2,1
2015,1,21,8,13,1.0,0,2,1
2015,1,21,9,8,0.875,0,2,1
2015,1,21,10,2,1.0,0,2,1
2015,1,21,11,1,1.0,0,2,1
2015,1,21,12,3,1.0,0,2,1
2015,1,21,13,2,1.0,0,2,1
2015,1,21,14,4,1.0,0,2,1
2015,1,21,15,5,1.0,0,2,1
2015,1,21,16,3,1.0,0,2,1
2015,1,21,17,6,1.0,0,2,1
2015,1,21,18,4,1.0,0,2,1
2015,1,21,19,5,1.0,0,2,1
2015,1,21,20,2,1.0,0,2,1
2015,1,21,21,1,1.0,0,2,1
2015,1,21,22,1,1.0,0,2,1
2015,1,22,5,1,1.0,0,3,1
2015,1,22,6,3,1.0,0,3,1
2015,1,22,7,6,1.0,0,3,1
2015,1,22,8,9,1.0,0,3,1
2015,1,22,9,4,1.0,0,3,1
2015,1,22,10,4,1.0,0,3,1
2015,1,22,11,3,1.0,0,3,1
2015,1,22,12,2,1.0,0,3,1
2015,1,22,13,3,0.6666666666666666,0,3,1
2015,1,22,14,4,1.0,0,3,1
2015,1,22,15,2,1.0,0,3,1
2015,1,22,16,5,0.6,0,3,1
2015,1,22,17,8,1.0,0,3,1
2015,1,22,18,2,1.0,0,3,1
2015,1,22,19,3,1.0,0,3,1
2015,1,22,20,3,1.0,0,3,1
2015,1,22,21,1,1.0,0,3,1
2015,1,22,23,2,0.0,0,3,1
2015,1,23,5,2,1.0,0,4,1
2015,1,23,6,1,1.0,0,4,1
2015,1,23,7,5,1.0,0,4,1
2015,1,23,8,9,1.0,0,4,1
2015,1,23,9,7,1.0,0,4,1
2015,1,23,10,2,1.0,0,4,1
2015,1,23,11,2,1.0,0,4,1
2015,1,23,12,1,1.0,0,4,1
2015,1,23,13,5,1.0,0,4,1
2015,1,23,14,8,1.0,0,4,1
2015,1,23,15,4,1.0,0,4,1
2015,1,23,16,8,1.0,0,4,1
2015,1,23,17,3,1.0,0,4,1
2015,1,23,18,3,1.0,0,4,1
2015,1,23,19,7,1.0,0,4,1
2015,1,23,20,2,1.0,0,4,1
2015,1,23,22,2,1.0,0,4,1
2015,1,23,23,1,1.0,0,4,1
2015,1,24,11,2,1.0,0,5,0
2015,1,24,13,3,1.0,0,5,0
2015,1,24,15,1,1.0,0,5,0
2015,1,24,18,1,1.0,0,5,0
2015,1,24,20,1,1.0,0,5,0
2015,1,25,7,1,1.0,0,6,0
2015,1,25,8,1,1.0,0,6,0
2015,1,25,9,3,1.0,0,6,0
2015,1,25,10,1,1.0,0,6,0
2015,1,25,11,7,1.0,0,6,0
2015,1,25,12,2,1.0,0,6,0
2015,1,25,13,12,0.9166666666666666,0,6,0
2015,1,25,14,9,0.8888888888888888,0,6,0
2015,1,25,15,3,0.6666666666666666,0,6,0
2015,1,25,16,4,0.5,0,6,0
2015,1,25,17,1,1.0,0,6,0
2015,1,25,19,3,1.0,0,6,0
2015,1,25,20,1,1.0,0,6,0
2015,1,25,22,1,1.0,0,6,0
2015,1,26,0,1,1.0,0,0,1
2015,1,26,6,3,1.0,0,0,1
2015,1,26,7,2,1.0,0,0,1
2015,1,26,8,4,1.0,0,0,1
2015,1,26,9,1,1.0,0,0,1
2015,1,26,11,2,1.0,0,0,1
2015,1,26,13,1,1.0,0,0,1
2015,1,26,14,4,1.0,0,0,1
2015,1,26,18,2,1.0,0,0,1
2015,1,27,8,1,1.0,0,1,1
2015,1,27,13,1,1.0,0,1,1
2015,1,27,15,1,1.0,0,1,1
2015,1,27,16,2,1.0,0,1,1
2015,1,27,17,1,1.0,0,1,1
2015,1,27,19,2,1.0,0,1,1
2015,1,28,6,1,1.0,0,2,1
