year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung,abweichungdurchschnitt
2015,5,27,17,26,0.9615384615384616,0,2,1,23,0.9,81,25,Moderate or heavy rain shower,2015-05-27 17:00:00,36,14,20,29,35,25.71428571428571,22.000000000000007
2015,5,27,19,17,0.7647058823529411,0,2,1,21,0.6,85,23,Moderate or heavy rain shower,2015-05-27 19:00:00,15,51,26,30,19,10.526315789473683,20.312499999999993
2015,5,27,23,3,1.0,0,2,1,19,2.0,93,13,Moderate or heavy rain shower,2015-05-27 23:00:00,3,2,6,2,4,0.0,0.0
2015,5,28,7,10,1.0,0,3,1,21,0.5,88,8,Light rain shower,2015-05-28 07:00:00,11,9,0,10,9,0.0,0.0
2015,5,28,8,15,1.0,0,3,1,22,0.0,84,11,Sunny,2015-05-28 08:00:00,15,10,9,17,16,6.25,6.25
2015,5,28,13,12,0.5833333333333334,0,3,1,26,0.0,63,12,Sunny,2015-05-28 13:00:00,8,12,14,12,15,0.0,2.857142857142862
2015,5,28,14,13,0.6923076923076923,0,3,1,26,0.9,63,13,Moderate or heavy rain shower,2015-05-28 14:00:00,9,12,12,16,16,18.75,4.878048780487801
2015,5,28,17,29,0.896551724137931,0,3,1,24,1.0,67,10,Moderate or heavy rain shower,2015-05-28 17:00:00,26,26,18,41,26,11.538461538461538,6.451612903225806
2015,5,28,18,32,0.8125,0,3,1,23,1.3,69,8,Moderate or heavy rain shower,2015-05-28 18:00:00,31,29,26,51,31,3.225806451612903,15.044247787610615
2015,5,28,19,31,0.8387096774193549,0,3,1,22,0.6,71,10,Moderate or heavy rain shower,2015-05-28 19:00:00,12,32,29,51,28,10.714285714285714,2.197802197802202
2015,5,28,20,24,0.8333333333333334,0,3,1,21,0.0,72,12,Clear,2015-05-28 20:00:00,12,31,32,22,20,20.0,33.33333333333333
2015,5,29,6,3,1.0,0,4,1,19,0.0,74,9,Sunny,2015-05-29 06:00:00,4,0,0,4,8,25.0,43.74999999999999
2015,5,29,8,20,0.95,0,4,1,22,0.0,64,8,Sunny,2015-05-29 08:00:00,16,13,3,19,19,5.263157894736842,11.11111111111111
2015,5,29,10,14,0.4285714285714285,0,4,1,25,0.0,57,8,Sunny,2015-05-29 10:00:00,11,20,20,21,11,27.27272727272727,2.3255813953488413
2015,5,29,11,13,0.4615384615384615,0,4,1,25,0.0,55,8,Sunny,2015-05-29 11:00:00,23,14,20,11,11,18.181818181818183,13.333333333333334
2015,5,29,13,20,0.7,0,4,1,25,0.0,55,11,Sunny,2015-05-29 13:00:00,17,18,13,17,13,17.647058823529413,27.65957446808511
2015,5,29,14,28,0.6071428571428571,0,4,1,24,0.0,57,14,Sunny,2015-05-29 14:00:00,49,20,18,24,21,16.666666666666664,10.638297872340424
2015,5,29,15,21,0.7619047619047619,0,4,1,24,0.0,59,17,Sunny,2015-05-29 15:00:00,19,28,20,24,27,12.5,9.999999999999995
2015,5,29,17,41,0.8048780487804879,0,4,1,21,0.0,70,12,Sunny,2015-05-29 17:00:00,31,42,21,50,46,10.869565217391305,3.149606299212604
2015,5,29,18,41,0.8292682926829268,0,4,1,20,0.0,76,9,Clear,2015-05-29 18:00:00,33,41,42,38,41,7.894736842105263,9.821428571428564
2015,5,29,20,14,0.8571428571428571,0,4,1,18,0.0,83,12,Clear,2015-05-29 20:00:00,11,32,41,2,18,27.27272727272727,35.48387096774193
2015,5,30,8,9,1.0,0,5,0,23,0.0,74,16,Sunny,2015-05-30 08:00:00,7,1,2,5,11,28.57142857142857,17.391304347826082
2015,5,30,10,16,0.5625,0,5,0,25,0.0,68,19,Sunny,2015-05-30 10:00:00,13,11,9,16,16,0.0,6.666666666666667
2015,5,30,14,22,0.5,0,5,0,25,0.2,70,25,Sunny,2015-05-30 14:00:00,43,41,35,19,20,10.0,19.512195121951216
2015,5,30,15,31,0.4516129032258064,0,5,0,24,0.3,73,27,Sunny,2015-05-30 15:00:00,25,22,41,32,24,24.0,14.814814814814813
2015,5,30,18,35,0.6285714285714286,0,5,0,22,0.3,82,24,Clear,2015-05-30 18:00:00,48,54,45,34,15,2.941176470588235,8.247422680412363
2015,5,31,11,19,0.5263157894736842,0,6,0,26,0.5,67,14,Moderate or heavy rain shower,2015-05-31 11:00:00,16,12,12,27,23,17.391304347826086,13.636363636363635
2015,5,31,12,29,0.7586206896551724,0,6,0,26,0.7,65,14,Moderate or heavy rain shower,2015-05-31 12:00:00,34,19,12,35,26,14.705882352941178,8.421052631578952
2015,5,31,13,33,0.4545454545454545,0,6,0,26,0.3,69,15,Moderate or heavy rain shower,2015-05-31 13:00:00,40,29,19,39,36,15.384615384615385,13.913043478260875
2015,5,31,14,28,0.6071428571428571,0,6,0,25,0.8,73,16,Moderate or heavy rain shower,2015-05-31 14:00:00,28,33,29,54,28,0.0,23.63636363636363
2015,6,1,9,6,1.0,0,0,1,12,1.3,96,23,Moderate rain,2015-06-01 09:00:00,6,8,4,14,8,25.0,35.71428571428572
2015,6,3,7,14,0.9285714285714286,0,2,1,13,0.0,80,12,Partly cloudy,2015-06-03 07:00:00,12,6,2,9,12,16.666666666666664,27.27272727272727
2015,6,3,8,16,1.0,0,2,1,15,0.0,74,14,Sunny,2015-06-03 08:00:00,20,14,6,16,25,20.0,21.31147540983606
2015,6,3,9,14,0.8571428571428571,0,2,1,16,0.0,68,15,Sunny,2015-06-03 09:00:00,13,16,14,16,16,12.5,6.666666666666667
2015,6,3,10,9,1.0,0,2,1,18,0.0,63,12,Sunny,2015-06-03 10:00:00,10,14,16,7,12,10.0,6.896551724137925
2015,6,3,14,11,0.6363636363636364,0,2,1,19,0.0,59,14,Sunny,2015-06-03 14:00:00,13,13,13,21,10,15.384615384615385,24.999999999999996
2015,6,3,15,20,0.6,0,2,1,18,0.0,61,18,Sunny,2015-06-03 15:00:00,20,11,13,17,28,0.0,7.692307692307697
2015,6,3,18,41,0.8536585365853658,0,2,1,15,0.0,80,12,Clear,2015-06-03 18:00:00,51,41,33,37,31,10.81081081081081,3.3613445378151323
2015,6,4,6,7,1.0,0,3,1,12,0.1,85,12,Light drizzle,2015-06-04 06:00:00,9,2,0,8,5,12.5,4.545454545454541
2015,6,4,7,11,1.0,0,3,1,13,0.0,80,14,Light drizzle,2015-06-04 07:00:00,10,7,2,11,10,10.0,6.451612903225801
2015,6,4,8,15,0.9333333333333332,0,3,1,14,0.0,76,15,Partly cloudy,2015-06-04 08:00:00,15,11,7,15,17,0.0,4.255319148936167
2015,6,4,9,10,1.0,0,3,1,16,0.0,71,16,Partly cloudy,2015-06-04 09:00:00,17,15,11,13,11,23.076923076923077,26.829268292682922
2015,6,4,12,9,0.5555555555555556,0,3,1,18,0.0,62,12,Partly cloudy,2015-06-04 12:00:00,12,6,7,6,17,25.0,22.857142857142854
2015,6,4,15,23,0.782608695652174,0,3,1,16,0.1,69,16,Light rain shower,2015-06-04 15:00:00,18,9,5,12,31,27.77777777777778,13.114754098360661
2015,6,4,18,23,0.9565217391304348,0,3,1,14,0.2,79,10,Light rain shower,2015-06-04 18:00:00,32,39,16,31,51,28.125,39.473684210526315
2015,6,5,7,11,1.0,0,4,1,13,0.2,88,8,Light rain shower,2015-06-05 07:00:00,13,6,2,11,9,0.0,0.0
2015,6,5,8,19,1.0,0,4,1,14,0.2,87,9,Light rain shower,2015-06-05 08:00:00,20,11,6,16,19,0.0,3.636363636363643
2015,6,5,15,19,0.8947368421052632,0,4,1,19,0.0,73,12,Partly cloudy,2015-06-05 15:00:00,21,11,10,19,24,9.523809523809524,10.937499999999995
2015,6,5,17,44,0.8636363636363636,0,4,1,17,0.0,81,7,Partly cloudy,2015-06-05 17:00:00,41,24,19,31,50,7.317073170731707,8.196721311475416
2015,6,5,18,29,0.9310344827586208,0,4,1,17,0.0,85,5,Partly cloudy,2015-06-05 18:00:00,41,44,24,33,38,23.684210526315788,22.321428571428577
2015,6,5,19,21,0.9047619047619048,0,4,1,16,0.0,87,6,Partly cloudy,2015-06-05 19:00:00,32,29,44,23,12,8.695652173913043,5.970149253731338
2015,6,5,20,9,1.0,0,4,1,15,0.0,89,6,Clear,2015-06-05 20:00:00,14,21,29,11,2,18.181818181818183,0.0
2015,6,5,23,2,1.0,0,4,1,14,0.0,93,3,Mist,2015-06-05 23:00:00,2,1,6,2,3,0.0,14.28571428571429
2015,6,6,8,6,1.0,0,5,0,19,0.5,79,18,Light rain shower,2015-06-06 08:00:00,9,1,2,7,5,14.285714285714285,14.285714285714285
2015,6,6,9,7,1.0,0,5,0,20,0.6,73,24,Light rain shower,2015-06-06 09:00:00,11,6,1,9,3,22.22222222222222,8.695652173913047
2015,6,6,12,16,0.5,0,5,0,22,0.6,58,20,Patchy rain possible,2015-06-06 12:00:00,35,9,4,16,18,11.11111111111111,30.434782608695656
2015,6,6,13,21,0.7142857142857143,0,5,0,22,0.3,53,20,Patchy rain possible,2015-06-06 13:00:00,41,16,9,22,26,19.230769230769234,29.21348314606742
