start,year,month,dayofweek,hour,bikeid,day1anzahl,weekday
2017-01-08,2017,1,6,10,2,1.0,0
2017-01-08,2017,1,6,11,1,,0
2017-01-08,2017,1,6,13,2,1.0,0
2017-01-08,2017,1,6,14,4,2.0,0
2017-01-08,2017,1,6,17,4,,0
2017-01-08,2017,1,6,18,2,,0
2017-01-08,2017,1,6,20,1,1.0,0
2017-01-08,2017,1,6,22,2,,0
2017-01-08,2017,1,6,23,1,,0
2017-01-09,2017,1,0,5,4,,1
2017-01-09,2017,1,0,6,14,,1
2017-01-09,2017,1,0,7,22,,1
2017-01-09,2017,1,0,8,10,,1
2017-01-09,2017,1,0,9,6,,1
2017-01-09,2017,1,0,10,2,2.0,1
2017-01-09,2017,1,0,11,2,1.0,1
2017-01-09,2017,1,0,12,4,,1
2017-01-09,2017,1,0,13,1,2.0,1
2017-01-09,2017,1,0,14,1,4.0,1
2017-01-09,2017,1,0,15,2,,1
2017-01-09,2017,1,0,16,1,,1
2017-01-09,2017,1,0,17,6,4.0,1
2017-01-09,2017,1,0,18,9,2.0,1
2017-01-09,2017,1,0,19,4,,1
2017-01-09,2017,1,0,20,1,1.0,1
2017-01-09,2017,1,0,22,2,2.0,1
2017-01-10,2017,1,1,0,1,,1
2017-01-10,2017,1,1,4,3,,1
2017-01-10,2017,1,1,5,5,4.0,1
2017-01-10,2017,1,1,6,25,14.0,1
2017-01-10,2017,1,1,7,32,22.0,1
2017-01-10,2017,1,1,8,14,10.0,1
2017-01-10,2017,1,1,9,7,6.0,1
2017-01-10,2017,1,1,10,4,2.0,1
2017-01-10,2017,1,1,11,1,2.0,1
2017-01-10,2017,1,1,12,4,4.0,1
2017-01-10,2017,1,1,13,4,1.0,1
2017-01-10,2017,1,1,14,3,1.0,1
2017-01-10,2017,1,1,15,7,2.0,1
2017-01-10,2017,1,1,16,6,1.0,1
2017-01-10,2017,1,1,17,5,6.0,1
2017-01-10,2017,1,1,18,14,9.0,1
2017-01-10,2017,1,1,19,11,4.0,1
2017-01-10,2017,1,1,20,3,1.0,1
2017-01-10,2017,1,1,21,2,,1
2017-01-10,2017,1,1,22,3,2.0,1
2017-01-11,2017,1,2,0,1,1.0,1
2017-01-11,2017,1,2,4,3,3.0,1
2017-01-11,2017,1,2,5,2,5.0,1
2017-01-11,2017,1,2,6,32,25.0,1
2017-01-11,2017,1,2,7,42,32.0,1
2017-01-11,2017,1,2,8,13,14.0,1
2017-01-11,2017,1,2,9,14,7.0,1
2017-01-11,2017,1,2,10,6,4.0,1
2017-01-11,2017,1,2,11,4,1.0,1
2017-01-11,2017,1,2,12,4,4.0,1
2017-01-11,2017,1,2,13,8,4.0,1
2017-01-11,2017,1,2,14,4,3.0,1
2017-01-11,2017,1,2,15,5,7.0,1
2017-01-11,2017,1,2,16,4,6.0,1
2017-01-11,2017,1,2,17,9,5.0,1
2017-01-11,2017,1,2,18,10,14.0,1
2017-01-11,2017,1,2,19,14,11.0,1
2017-01-11,2017,1,2,20,5,3.0,1
2017-01-12,2017,1,3,4,3,3.0,1
2017-01-12,2017,1,3,5,6,2.0,1
2017-01-12,2017,1,3,6,36,32.0,1
2017-01-12,2017,1,3,7,35,42.0,1
2017-01-12,2017,1,3,8,20,13.0,1
2017-01-12,2017,1,3,9,12,14.0,1
2017-01-12,2017,1,3,10,7,6.0,1
2017-01-12,2017,1,3,11,7,4.0,1
2017-01-12,2017,1,3,12,6,4.0,1
2017-01-12,2017,1,3,13,10,8.0,1
2017-01-12,2017,1,3,14,4,4.0,1
2017-01-12,2017,1,3,15,8,5.0,1
2017-01-12,2017,1,3,16,11,4.0,1
2017-01-12,2017,1,3,17,8,9.0,1
2017-01-12,2017,1,3,18,16,10.0,1
2017-01-12,2017,1,3,19,23,14.0,1
2017-01-12,2017,1,3,20,9,5.0,1
2017-01-12,2017,1,3,21,7,,1
2017-01-12,2017,1,3,22,9,,1
2017-01-12,2017,1,3,23,7,,1
2017-01-13,2017,1,4,0,5,,1
2017-01-13,2017,1,4,1,1,,1
2017-01-13,2017,1,4,2,1,,1
2017-01-13,2017,1,4,3,1,,1
2017-01-13,2017,1,4,4,1,3.0,1
2017-01-13,2017,1,4,5,2,6.0,1
2017-01-13,2017,1,4,6,50,36.0,1
2017-01-13,2017,1,4,7,17,35.0,1
2017-01-13,2017,1,4,8,17,20.0,1
2017-01-13,2017,1,4,9,15,12.0,1
2017-01-13,2017,1,4,10,4,7.0,1
2017-01-13,2017,1,4,11,4,7.0,1
2017-01-13,2017,1,4,12,8,6.0,1
2017-01-13,2017,1,4,13,9,10.0,1
2017-01-13,2017,1,4,14,5,4.0,1
2017-01-13,2017,1,4,15,5,8.0,1
2017-01-13,2017,1,4,16,4,11.0,1
2017-01-13,2017,1,4,17,7,8.0,1
2017-01-13,2017,1,4,18,14,16.0,1
2017-01-13,2017,1,4,19,6,23.0,1
2017-01-13,2017,1,4,20,4,9.0,1
2017-01-13,2017,1,4,21,3,7.0,1
