year,week,tempC,sunHour,precipMM,FeelsLikeC,humidity
2015,1,6.0,6.5249999999999995,6.45,-1.25,71.0
2015,2,-3.5714285714285716,7.214285714285714,1.0714285714285714,-13.714285714285714,69.42857142857143
2015,3,0.5714285714285714,7.214285714285714,8.200000000000001,-6.714285714285714,70.57142857142857
2015,4,2.7142857142857144,8.142857142857144,3.685714285714286,-3.7142857142857144,72.71428571428571
2015,5,-1.5714285714285714,7.628571428571429,3.8285714285714287,-11.285714285714286,84.71428571428571
2015,6,-0.42857142857142855,8.685714285714285,6.328571428571429,-9.857142857142858,86.14285714285714
2015,7,-3.142857142857143,8.142857142857142,2.8714285714285714,-13.428571428571429,87.85714285714286
2015,8,-4.571428571428571,7.428571428571429,5.114285714285714,-14.714285714285714,87.28571428571429
2015,9,-4.142857142857143,9.22857142857143,2.8000000000000003,-13.285714285714286,84.85714285714286
2015,10,0.2857142857142857,8.114285714285716,11.728571428571428,-8.0,90.42857142857143
2015,11,7.0,8.1,2.3714285714285714,1.0,80.42857142857143
2015,12,5.714285714285714,9.414285714285713,2.8714285714285714,-0.8571428571428571,74.14285714285714
2015,13,6.428571428571429,8.971428571428572,6.085714285714286,-1.4285714285714286,70.28571428571429
2015,14,10.0,9.371428571428572,5.742857142857142,3.7142857142857144,75.28571428571429
2015,15,11.142857142857142,8.685714285714287,1.3285714285714287,5.0,80.71428571428571
2015,16,14.714285714285714,9.642857142857142,2.2142857142857144,10.285714285714286,71.14285714285714
2015,17,13.0,10.200000000000001,9.257142857142856,6.285714285714286,68.71428571428571
2015,18,17.285714285714285,13.042857142857143,0.4142857142857143,11.142857142857142,70.71428571428571
2015,19,22.142857142857142,13.214285714285714,0.5714285714285714,17.428571428571427,74.0
2015,20,22.428571428571427,13.885714285714286,2.7142857142857144,17.714285714285715,71.28571428571429
2015,21,19.714285714285715,13.442857142857141,1.8000000000000003,14.714285714285714,67.28571428571429
2015,22,25.571428571428573,14.357142857142858,7.342857142857143,21.857142857142858,77.0
2015,23,18.285714285714285,12.12857142857143,8.428571428571429,13.571428571428571,81.42857142857143
2015,24,26.285714285714285,13.785714285714286,4.571428571428571,22.857142857142858,74.0
2015,25,24.285714285714285,12.299999999999999,9.385714285714286,22.0,82.85714285714286
2015,26,25.571428571428573,13.185714285714287,4.642857142857143,23.142857142857142,73.14285714285714
2015,27,26.571428571428573,13.928571428571429,2.5142857142857147,22.857142857142858,70.85714285714286
2015,28,28.714285714285715,14.071428571428571,6.128571428571429,26.142857142857142,73.14285714285714
2015,29,28.142857142857142,14.057142857142859,5.442857142857142,25.571428571428573,72.0
2015,30,28.857142857142858,14.5,1.0285714285714287,26.0,60.142857142857146
2015,31,30.285714285714285,14.5,5.085714285714286,27.571428571428573,66.71428571428571
2015,32,28.571428571428573,14.185714285714287,0.3428571428571429,25.285714285714285,61.142857142857146
2015,33,28.571428571428573,11.27142857142857,7.285714285714285,25.571428571428573,65.57142857142857
2015,34,29.428571428571427,11.428571428571427,4.171428571428572,27.0,70.57142857142857
2015,35,28.857142857142858,11.599999999999998,1.4857142857142858,24.857142857142858,64.14285714285714
2015,36,28.857142857142858,10.328571428571427,1.9857142857142858,27.0,69.85714285714286
2015,37,27.285714285714285,11.042857142857143,10.828571428571427,24.714285714285715,75.28571428571429
2015,38,23.428571428571427,10.27142857142857,1.0571428571428572,20.0,66.57142857142857
2015,39,23.142857142857142,10.0,0.0,18.428571428571427,65.42857142857143
2015,40,18.571428571428573,9.171428571428569,12.857142857142858,14.714285714285714,81.71428571428571
2015,41,21.571428571428573,11.071428571428571,2.0285714285714285,15.714285714285714,71.28571428571429
2015,42,17.142857142857142,10.942857142857141,0.2714285714285714,11.571428571428571,65.14285714285714
2015,43,17.0,10.12857142857143,0.8285714285714285,11.571428571428571,67.0
2015,44,16.0,8.085714285714285,11.185714285714285,11.142857142857142,71.28571428571429
2015,45,18.714285714285715,6.842857142857143,0.7000000000000001,15.142857142857142,77.71428571428571
2015,46,13.142857142857142,6.357142857142857,4.1571428571428575,8.142857142857142,75.28571428571429
2015,47,13.285714285714286,7.742857142857143,6.971428571428572,8.428571428571429,73.85714285714286
2015,48,10.857142857142858,7.971428571428571,0.18571428571428572,5.142857142857143,70.14285714285714
2015,49,10.0,6.485714285714285,5.457142857142856,5.285714285714286,80.57142857142857
2015,50,13.285714285714286,6.7,0.028571428571428574,8.714285714285714,81.85714285714286
2015,51,8.857142857142858,4.928571428571429,10.514285714285714,5.0,79.42857142857143
2015,52,14.428571428571429,4.9142857142857155,8.9,10.857142857142858,86.85714285714286
2015,53,7.5,4.3,3.675,2.25,85.0
2016,1,5.714285714285714,6.714285714285714,6.471428571428571,-1.1428571428571428,63.142857142857146
2016,2,3.7142857142857144,6.228571428571428,2.814285714285714,-3.4285714285714284,66.28571428571429
2016,3,-0.5714285714285714,7.714285714285714,8.499999999999998,-9.428571428571429,66.0
2016,4,3.2857142857142856,9.5,1.1428571428571428,-3.0,85.14285714285714
2016,5,8.142857142857142,8.614285714285714,8.928571428571429,2.0,83.71428571428571
2016,6,-2.4285714285714284,7.671428571428572,1.2428571428571427,-11.285714285714286,67.0
2016,7,6.0,8.214285714285714,7.557142857142857,-1.0,75.28571428571429
2016,8,7.857142857142857,8.685714285714287,11.485714285714284,0.0,75.57142857142857
2016,9,6.428571428571429,10.528571428571428,1.942857142857143,-0.7142857142857143,63.42857142857143
2016,10,15.571428571428571,10.485714285714286,0.6,9.857142857142858,76.14285714285714
