year,day,month,start station,start station latitude,start station longitude,anzahl,precipMM,humidity,tempC,day1anzahl,dayofweek
2019,1,5,28 St & 36 Ave,40.757186,-73.932719,11,0.0,72.66666666666667,11.5,0.0,2.0
2019,1,5,28 St & 38 Ave,40.754876,-73.934326,12,0.0125,70.625,11.875,0.0,2.0
2019,1,5,28 St & 41 Ave,40.751047,-73.93797,20,0.0,70.54545454545455,11.909090909090908,0.0,2.0
2019,1,5,3 Ave & 14 St,40.6685455,-73.99333264,21,0.006666666666666667,70.66666666666667,11.6,0.0,2.0
2019,1,5,3 Ave & Carroll St,40.677027,-73.9865,24,0.0,70.78571428571429,12.0,0.0,2.0
2019,1,5,3 Ave & E 100 St,40.7877214,-73.94728331,9,0.049999999999999996,71.16666666666667,12.0,0.0,2.0
2019,1,5,3 Ave & E 112 St,40.795508,-73.941606,10,0.0,70.0,11.857142857142858,0.0,2.0
2019,1,5,3 Ave & E 62 St,40.76312584,-73.96526895,73,0.005555555555555556,70.55555555555556,11.833333333333334,0.0,2.0
2019,1,5,3 Ave & E 71 St,40.76873687,-73.96119945,31,0.0071428571428571435,69.92857142857143,11.928571428571429,0.0,2.0
2019,1,5,3 Ave & E 72 St,40.7699426,-73.96060712,36,0.028571428571428574,70.14285714285714,12.0,0.0,2.0
2019,1,5,3 Ave & E 95 St,40.78459679884892,-73.94968539476395,27,0.0,71.45454545454545,11.909090909090908,0.0,2.0
2019,1,5,3 Ave & Schermerhorn St,40.68683208,-73.9796772,28,0.023076923076923075,70.53846153846153,11.923076923076923,0.0,2.0
2019,1,5,3 St & 3 Ave,40.6750705,-73.98775226,42,0.007692307692307693,70.15384615384616,12.0,0.0,2.0
2019,1,5,3 St & 7 Ave,40.6703837,-73.97839676,60,0.00625,70.125,11.9375,0.0,2.0
2019,1,5,3 St & Hoyt St,40.6777287,-73.99364123,23,0.0,70.41666666666667,12.083333333333334,0.0,2.0
2019,1,5,3 St & Prospect Park West,40.668132,-73.97363831,36,0.00625,69.6875,11.9375,0.0,2.0
2019,1,5,30 Ave & 21 St,40.7703743,-73.9286078,7,0.0,70.33333333333333,12.0,0.0,2.0
2019,1,5,31 Ave & 14 St,40.7682,-73.9322662,12,0.014285714285714287,69.14285714285714,12.0,0.0,2.0
2019,1,5,31 Ave & 30 St,40.7647,-73.9240312,11,0.04,72.2,11.7,0.0,2.0
2019,1,5,31 Ave & 34 St,40.763154,-73.920827,20,0.0,71.6,11.8,0.0,2.0
2019,1,5,31 Ave & Crescent St,40.7658346,-73.9265474,6,0.0,69.6,12.0,0.0,2.0
2019,1,5,31 Ave & Steinway St,40.761293897289086,-73.916916847229,22,0.02142857142857143,70.35714285714286,11.928571428571429,0.0,2.0
2019,1,5,31 St & 23 Ave,40.7747878,-73.9125551,63,0.0058823529411764705,70.76470588235294,11.823529411764707,0.0,2.0
2019,1,5,31 St & Astoria Blvd,40.7699176,-73.9184057,15,0.0,69.81818181818181,12.090909090909092,0.0,2.0
2019,1,5,31 St & Broadway,40.761584,-73.925921,26,0.0,71.0,12.0,0.0,2.0
2019,1,5,31 St & Hoyt Ave N,40.7711528,-73.9170074,5,0.0,65.5,12.25,0.0,2.0
2019,1,5,31 St & Newtown Ave,40.7675487799971,-73.9209334552288,39,0.0,69.14285714285714,12.071428571428571,0.0,2.0
2019,1,5,31 St & Northern Blvd,40.75186951421875,-73.93349289894103,16,0.03333333333333333,71.75,11.666666666666666,0.0,2.0
2019,1,5,31 St & Thomson Ave,40.74469738,-73.93540375,15,0.0,68.63636363636364,12.0,0.0,2.0
2019,1,5,34 Ave & 13 St,40.7638753,-73.9364848,4,0.0,70.0,12.0,0.0,2.0
2019,1,5,34 Ave & 21 St,40.7628138,-73.9342862,15,0.022222222222222223,71.66666666666667,11.555555555555555,0.0,2.0
2019,1,5,34 Ave & 38 St,40.756913,-73.921631,32,0.025,71.5625,11.875,0.0,2.0
2019,1,5,34 St & 35 Ave,40.7569332,-73.9262231,17,0.0,68.9090909090909,12.0,0.0,2.0
2019,1,5,35 Ave & 10 St,40.76315481910373,-73.93985509872437,15,0.0125,70.375,11.5,0.0,2.0
2019,1,5,35 Ave & 37 St,40.7557327,-73.9236611,15,0.0,71.33333333333333,11.777777777777779,0.0,2.0
2019,1,5,35 St & 34 Ave,40.7580583,-73.9242751,11,0.0125,72.0,11.625,0.0,2.0
2019,1,5,35 St & Broadway,40.760339,-73.9222427,9,0.0,70.83333333333333,12.0,0.0,2.0
2019,1,5,36 Ave & 10 St,40.7614376,-73.9411265,14,0.0,72.0,11.375,0.0,2.0
2019,1,5,36 Ave & 31 St,40.75651272984955,-73.92957486212252,13,0.03333333333333333,72.55555555555556,11.777777777777779,0.0,2.0
2019,1,5,37 Ave & 35 St,40.7531106,-73.9279917,6,0.0,68.8,11.8,0.0,2.0
2019,1,5,37 St & 24 Ave,40.7701477,-73.9120938,11,0.0125,72.0,11.75,0.0,2.0
2019,1,5,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.01062786579132,5,0.025,76.0,11.5,0.0,2.0
2019,1,5,4 Ave & 9 St,40.6705135,-73.98876585,25,0.008333333333333333,71.08333333333333,11.75,0.0,2.0
2019,1,5,40 Ave & 9 St,40.75742,-73.945133,10,0.0,72.16666666666667,12.166666666666666,0.0,2.0
2019,1,5,40 Ave & Crescent St,40.7535992020056,-73.93795609474182,6,0.02,74.0,11.6,0.0,2.0
2019,1,5,43 St & Broadway,40.7577284,-73.9166368,24,0.0,73.11111111111111,11.666666666666666,0.0,2.0
2019,1,5,44 Dr & 21 St,40.748,-73.9460927,35,0.0,70.71428571428571,12.0,0.0,2.0
2019,1,5,44 Dr & Jackson Ave,40.74718234,-73.9432635,48,0.006666666666666667,71.46666666666667,11.8,0.0,2.0
2019,1,5,45 Rd & 11 St,40.74708586,-73.94977234,34,0.02666666666666667,72.06666666666666,11.866666666666667,0.0,2.0
2019,1,5,46 Ave & 5 St,40.74731,-73.95451,48,0.022222222222222223,71.38888888888889,11.777777777777779,0.0,2.0
2019,1,5,47 Ave & 31 St,40.743,-73.93561,15,0.0125,69.125,11.875,0.0,2.0
