year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2015,1.0,1,0,14,0.2,89,4,9,4,20,17,17,11,14,3,4,12,18,2.9968302,1,-199.68302249908447
2017,0.7,0,1,28,0.0,40,13,24,23,13,17,12,12,15,1,2,8,15,26.244421,10,-162.44421005249023
2017,1.0,0,0,7,0.0,51,21,7,3,10,11,2,13,12,1,6,11,19,4.3610787,1,-336.107873916626
2015,0.5625,0,0,27,0.0,52,18,35,31,52,34,32,42,21,1,5,8,17,45.641533,16,-185.25958061218262
2015,1.0,0,0,20,2.4,91,11,6,1,7,16,21,28,33,4,6,5,19,5.0640917,1,-406.4091682434082
2017,1.0,0,0,14,0.0,71,23,0,0,5,3,5,9,13,1,5,5,3,2.3089314,1,-130.89313507080078
2017,1.0,0,0,4,0.0,58,17,7,5,1,10,5,8,4,1,6,12,16,5.7861633,2,-189.30816650390625
2018,0.6,0,1,19,0.0,87,10,16,22,35,29,39,11,16,2,0,10,21,10.370874,5,-107.41748809814453
2018,0.75,0,0,19,0.2,71,4,40,41,35,30,13,23,31,3,6,9,17,35.537354,16,-122.10845947265625
2017,0.6363636363636364,0,1,22,0.1,58,13,33,27,48,25,9,3,1,1,3,6,10,22.510105,11,-104.637319391424
2017,0.75,0,1,23,0.0,59,13,26,21,9,8,13,4,1,1,0,7,16,24.617973,8,-207.72466659545898
2016,1.0,0,1,12,0.0,66,19,3,7,14,15,37,42,34,1,2,6,23,2.4076314,1,-140.76313972473145
2018,0.6666666666666666,0,0,24,0.0,61,16,7,6,13,15,22,18,32,1,6,7,1,6.081724,3,-102.72413889567058
2017,1.0,0,1,8,0.3,67,18,7,7,10,11,3,10,11,3,1,11,16,7.9452233,3,-164.84077771504718
2018,1.0,0,1,-1,0.0,54,21,7,18,10,9,10,10,3,1,1,12,19,5.36727,2,-168.36349964141846
2017,0.3333333333333333,0,0,12,0.3,82,10,16,17,19,29,42,22,18,3,5,4,15,15.324895,6,-155.41491508483887
2017,1.0,0,1,-5,0.0,57,18,6,2,3,6,13,7,4,1,3,12,22,2.112292,1,-111.22920513153076
2016,0.5,0,0,26,1.4,83,17,10,16,11,2,1,2,1,4,6,7,10,18.024275,8,-125.30343532562256
2016,0.75,0,0,4,0.0,65,32,4,4,9,6,6,13,6,2,5,12,17,10.245674,4,-156.14185333251953
2017,1.0,1,0,3,0.0,73,29,2,0,4,13,18,30,11,1,4,4,22,2.042812,1,-104.28121089935303
2016,1.0,0,0,2,0.1,71,9,1,3,2,8,4,6,3,4,6,12,20,2.4708855,1,-147.08855152130127
2015,1.0,0,0,15,0.0,69,24,1,4,3,13,15,19,21,1,6,9,23,3.129627,1,-212.9626989364624
2018,1.0,0,1,27,1.4,75,14,14,9,18,19,37,28,32,4,4,8,22,4.2536225,1,-325.3622531890869
2015,1.0,0,0,0,0.0,98,15,2,4,3,4,4,3,4,2,6,2,19,2.9512496,1,-195.1249599456787
2015,1.0,0,1,6,0.0,81,17,3,7,6,9,14,15,15,1,3,12,22,3.1923199,1,-219.23198699951172
2017,0.0,0,1,21,0.0,63,7,2,4,5,10,9,25,43,1,2,9,1,2.2708185,1,-127.08184719085693
2017,0.625,0,1,15,0.0,51,10,19,19,40,19,3,1,1,1,3,5,10,18.266241,8,-128.32801342010498
2017,0.5,0,1,18,0.9,74,7,2,5,9,20,29,16,6,3,2,4,12,9.346573,4,-133.66432189941406
2018,1.0,0,0,20,0.1,77,5,21,30,30,22,17,22,23,3,5,6,20,13.959352,3,-365.31171798706055
2018,1.0,0,1,14,0.0,59,25,4,2,5,14,19,20,43,2,4,10,23,3.1509676,1,-215.09675979614258
2018,1.0,0,1,0,0.0,29,9,4,1,4,1,2,1,1,1,4,11,13,3.2586892,1,-225.86891651153564
2015,1.0,0,0,20,0.0,82,15,6,6,7,6,21,21,21,1,5,7,1,2.142413,1,-114.24129009246826
2017,1.0,0,1,9,0.0,69,7,2,3,4,3,11,12,27,1,4,4,1,2.307449,1,-130.74491024017334
2015,0.6666666666666666,0,0,24,0.0,72,12,7,12,19,26,44,23,25,1,6,8,22,8.913618,3,-197.12060292561847
2018,1.0,0,0,3,0.7,72,11,6,11,10,8,13,10,13,4,5,2,17,8.153277,2,-307.6638698577881
2017,1.0,0,1,22,0.7,90,10,2,7,1,13,25,51,47,3,2,6,1,2.450979,1,-145.09789943695068
2016,1.0,1,0,8,0.1,85,10,8,2,12,4,6,3,2,3,3,11,18,6.3240995,1,-532.4099540710449
2015,1.0,0,1,18,0.0,88,12,5,0,2,8,18,35,41,2,2,5,1,2.1962337,1,-119.62337493896484
2018,0.5,0,1,29,0.0,44,9,17,9,10,27,22,23,5,1,1,6,12,18.33031,8,-129.12888526916504
2017,1.0,0,0,22,0.0,88,12,17,21,42,44,57,41,64,1,6,7,22,9.226708,1,-822.670841217041
2015,1.0,0,1,9,0.0,65,5,9,17,24,22,14,7,13,1,2,11,18,12.112764,5,-142.25528717041016
2016,1.0,0,1,10,0.9,86,22,3,6,3,1,1,9,11,3,3,10,14,5.2969646,1,-429.6964645385742
2017,0.8,0,1,24,0.0,74,14,16,16,55,45,59,62,11,1,0,6,22,12.321773,5,-146.43545150756836
2015,0.6,0,0,9,0.0,38,22,18,16,14,4,6,6,2,1,6,10,13,13.074715,5,-161.49429321289062
2016,1.0,0,1,19,0.0,73,7,4,3,12,9,28,30,95,1,2,9,0,2.3006172,1,-130.0617218017578
2018,0.6666666666666666,0,0,12,0.0,44,8,15,6,16,25,39,28,45,1,6,4,21,10.386452,3,-246.21505737304688
2015,1.0,0,1,8,0.0,67,9,9,4,5,17,24,22,14,1,2,11,20,4.8287416,2,-141.43707752227783
2017,1.0,0,1,21,0.9,94,13,14,8,6,9,8,8,1,4,4,7,16,11.811684,3,-293.7227884928385
2018,1.0,0,1,4,0.1,71,4,5,23,5,6,6,7,2,3,3,2,18,21.191338,8,-164.89171981811523
2015,0.5,0,1,17,0.0,90,9,11,7,8,14,32,41,41,1,4,5,23,4.854086,2,-142.70429611206055
2017,1.0,0,1,18,0.3,69,22,8,8,10,16,21,24,26,1,0,9,0,3.3059554,1,-230.5955410003662
2015,1.0,0,1,10,1.2,100,7,1,1,1,5,9,4,1,4,3,3,12,2.22859,1,-122.85900115966797
2018,0.6,0,0,26,1.7,69,15,36,34,31,26,24,20,25,4,5,8,19,37.212967,10,-272.1296691894531
2018,1.0,0,1,0,0.0,66,27,3,5,8,17,15,7,9,1,1,3,21,2.1016927,1,-110.16926765441895
2016,1.0,0,1,25,0.0,79,7,0,0,0,1,2,3,5,1,4,7,5,3.4226217,1,-242.2621726989746
2016,1.0,0,1,8,0.0,69,20,7,7,17,32,39,48,19,1,0,10,22,4.4315042,1,-343.1504249572754
2016,1.0,0,1,8,0.1,79,20,3,3,9,9,15,2,1,3,0,12,12,3.1324162,1,-213.24162483215332
2018,1.0,0,0,6,1.4,98,5,2,3,12,16,8,6,3,3,5,2,14,5.158489,1,-415.8489227294922
2015,0.8,0,0,22,0.1,75,9,9,11,22,3,5,12,4,3,6,6,17,24.34205,10,-143.42050552368164
2016,1.0,0,1,20,0.0,89,11,5,2,7,12,36,35,78,1,2,7,1,2.699035,1,-169.90349292755127
2018,1.0,0,0,21,0.0,79,6,4,3,3,6,6,15,21,1,5,9,1,2.0522938,1,-105.22937774658203
2016,1.0,0,1,24,0.0,83,6,7,8,15,15,29,49,73,1,1,8,0,2.9589078,1,-195.89078426361084
2018,1.0,0,1,2,0.0,42,22,3,5,5,6,15,7,4,1,1,12,12,3.1759152,1,-217.5915241241455
2016,1.0,0,1,6,0.0,75,25,15,19,21,22,6,13,7,1,3,12,20,8.484507,3,-182.81688690185547
2015,0.4545454545454545,0,0,17,0.0,75,19,28,23,22,30,16,10,12,1,6,11,14,30.218,11,-174.70909465443006
2018,1.0,0,1,5,0.0,58,27,15,12,8,14,11,9,5,2,2,11,17,18.441616,9,-104.90684509277344
2015,1.0,0,1,4,0.0,70,6,2,5,5,7,10,17,4,1,1,3,22,2.8725889,1,-187.2588872909546
2016,0.4285714285714285,0,0,23,0.7,93,13,15,13,22,21,14,18,20,3,6,7,21,15.055388,7,-115.07697786603654
2017,1.0,0,0,7,0.0,64,9,0,3,2,5,7,14,14,1,5,12,0,2.4613736,1,-146.13735675811768
2016,0.9545454545454546,0,1,28,4.4,83,6,36,39,19,14,11,12,17,4,3,8,18,47.230083,22,-114.68219757080078
2015,0.8,0,1,28,0.2,69,9,6,5,17,15,11,8,2,3,2,7,11,10.78194,5,-115.63880920410156
2018,1.0,0,0,26,0.8,72,4,3,3,2,7,8,19,27,3,5,8,2,2.3749175,1,-137.4917507171631
2018,0.5,0,1,28,0.0,71,10,3,4,6,16,26,31,27,1,0,9,23,4.8783293,2,-143.9164638519287
2018,0.7777777777777778,0,1,28,0.1,69,26,18,11,13,9,7,11,5,3,1,7,16,18.097034,9,-101.07816060384114
2018,1.0,0,0,6,0.0,81,4,9,4,10,15,22,21,12,2,6,1,19,4.6275835,1,-362.75835037231445
2018,1.0,0,1,19,0.4,87,7,5,3,12,17,34,25,5,3,3,5,12,4.371901,1,-337.1901035308838
2016,0.75,0,0,27,2.6,76,17,45,46,33,29,26,28,17,4,5,7,15,33.63438,16,-110.21487712860107
2016,1.0,1,0,12,0.9,88,32,3,5,7,7,7,12,10,4,3,4,13,4.5723205,1,-357.23204612731934
2016,1.0,0,1,6,0.0,57,14,10,5,11,18,41,40,6,1,2,10,22,4.9242997,2,-146.21498584747314
2015,0.6,0,1,6,0.0,77,17,8,9,7,23,10,10,8,1,3,12,17,13.361807,5,-167.23613739013672
2015,0.5,1,0,1,0.0,47,26,5,7,2,3,5,2,3,1,3,1,17,4.7584567,2,-137.92283535003662
2016,1.0,0,1,22,0.0,85,8,0,0,0,1,2,4,34,1,4,10,14,4.6383796,2,-131.91897869110107
2017,0.5714285714285714,0,1,28,0.0,39,4,21,14,14,20,39,22,8,1,1,9,12,17.87955,7,-155.42215619768416
2018,0.6666666666666666,0,1,28,0.7,56,17,18,18,18,9,11,7,8,3,1,8,15,18.140476,6,-202.34127044677734
2018,1.0,0,1,8,0.1,59,20,3,5,2,11,7,7,17,3,3,4,14,4.256083,1,-325.6083011627197
2018,1.0,0,0,18,0.6,71,21,4,2,11,6,6,5,2,3,6,9,13,5.0201554,1,-402.0155429840088
2016,0.5,0,1,18,0.0,74,11,0,0,0,3,9,13,8,1,0,7,2,4.6180477,2,-130.90238571166992
2016,1.0,0,1,17,0.0,78,7,6,7,10,26,55,99,72,1,3,9,23,2.4838686,1,-148.38685989379883
2015,0.7142857142857143,0,1,23,0.0,76,22,23,23,31,36,45,9,10,1,1,7,21,15.289427,7,-118.42038290841239
2017,1.0,0,1,13,0.6,60,22,8,5,12,17,13,21,39,3,3,10,14,7.516947,3,-150.56489308675128
2017,1.0,0,1,23,0.4,72,27,26,14,11,13,10,7,23,3,1,9,15,11.688532,4,-192.2132968902588
2018,1.0,0,1,22,0.0,85,15,10,11,17,32,70,61,24,2,3,9,22,4.712987,2,-135.64934730529785
2015,0.5,0,1,30,0.0,51,17,32,22,13,14,11,16,18,1,1,7,15,27.79695,10,-177.9694938659668
2017,1.0,0,0,24,0.0,63,10,8,3,8,14,7,28,43,1,6,9,1,2.9361618,1,-193.6161756515503
2018,1.0,0,1,25,0.0,59,7,7,7,8,25,30,31,54,1,0,7,0,2.7563586,1,-175.63586235046387
2016,1.0,0,0,20,0.1,93,6,5,4,10,18,39,18,26,3,5,7,22,3.1987798,1,-219.8779821395874
2016,1.0,0,1,13,3.6,93,12,11,5,5,9,1,6,3,4,3,10,18,13.907778,4,-247.69444465637207
2016,1.0,0,1,16,0.0,86,6,6,6,22,26,32,45,19,1,1,5,22,4.0579357,1,-305.79357147216797
2017,1.0,0,0,8,0.0,49,18,6,10,11,2,13,12,16,1,6,11,18,6.732662,3,-124.42207336425781
2015,1.0,0,1,16,0.0,98,1,7,9,6,15,14,29,33,2,1,5,0,2.078024,1,-107.8023910522461
2016,1.0,0,1,5,0.0,82,11,14,11,11,15,7,7,13,1,1,2,20,6.703653,2,-235.18264293670654
2015,1.0,0,0,21,0.0,73,12,11,13,7,17,16,33,24,1,6,7,1,5.1655617,1,-416.55616760253906
2017,1.0,0,1,19,0.0,58,9,35,35,63,87,16,23,24,1,1,10,20,30.143278,15,-100.95518747965495
2015,1.0,0,1,8,0.1,93,14,14,10,11,12,4,13,14,3,2,12,18,12.17272,5,-143.45439910888672
2015,0.5,0,0,20,0.0,88,9,4,4,9,4,8,10,27,1,5,9,2,5.0720973,2,-153.60486507415771
2018,1.0,0,0,5,0.0,74,16,8,7,11,13,23,14,14,1,5,11,20,4.384953,2,-119.24765110015869
2017,1.0,1,0,3,0.0,29,4,9,2,7,5,9,7,6,1,5,11,21,3.3420475,1,-234.20474529266357
2018,0.75,0,1,23,0.0,84,14,8,9,26,37,83,61,22,3,2,10,22,8.543133,4,-113.57831954956055
2015,0.5,0,0,25,0.2,70,25,49,41,35,26,16,11,9,1,5,5,14,44.380756,22,-101.73071080988103
2015,1.0,0,1,-4,0.0,83,20,2,2,11,5,1,4,3,1,0,3,20,2.014687,1,-101.46870613098145
2017,1.0,0,0,10,0.0,66,16,7,1,6,4,13,17,17,1,5,11,21,3.902106,1,-290.2106046676636
2015,0.9230769230769232,0,0,7,0.0,54,19,26,23,16,11,25,11,20,1,5,10,18,29.861233,13,-129.70179044283356
2017,0.8,0,1,10,0.0,66,12,16,19,10,4,4,5,5,1,0,12,16,15.041065,5,-200.82130432128906
