year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2018,1.0,0,1,3,0.0,50,14,4,6,11,18,11,2,2,1,0,12,11,4.500007,2,-125.00035762786865
2015,1.0,0,1,-1,0.0,77,9,0,2,1,1,2,2,7,2,3,1,14,2.925474,1,-192.5473928451538
2018,1.0,0,0,22,0.1,81,21,5,8,3,11,14,37,58,3,5,9,0,2.1073384,1,-110.73384284973145
2018,0.6666666666666666,0,1,15,0.4,91,4,2,1,1,2,19,15,19,3,1,11,13,6.516632,3,-117.2210693359375
2015,0.6666666666666666,0,1,21,0.0,59,9,5,5,14,25,9,7,1,1,3,9,11,7.5967674,3,-153.225580851237
2015,0.6666666666666666,0,0,12,0.0,60,10,35,35,34,32,22,14,20,1,5,10,15,30.112719,12,-150.93932151794434
2015,0.7142857142857143,0,1,25,0.0,57,22,6,8,20,7,13,15,16,1,0,8,15,15.096155,7,-115.65935952322823
2016,1.0,0,1,12,0.1,97,9,2,0,3,6,5,3,2,3,1,11,23,2.1364384,1,-113.64383697509766
2018,1.0,0,1,9,0.0,49,9,9,3,9,10,20,9,5,1,0,2,12,4.7736316,2,-138.68157863616943
2017,1.0,0,0,13,0.2,72,20,6,5,2,11,14,11,19,3,5,11,23,4.365565,1,-336.5564823150635
2015,0.7272727272727273,0,1,23,0.0,64,14,22,24,10,11,9,10,8,1,2,6,15,22.21553,11,-101.9593672318892
2015,1.0,0,0,10,0.0,66,22,4,3,3,6,3,5,19,1,6,11,0,2.3104997,1,-131.0499668121338
2017,0.5,0,0,23,0.0,80,4,17,19,16,25,37,35,53,1,6,9,22,10.384943,2,-419.2471504211426
2018,0.8571428571428571,0,1,10,0.7,68,19,11,8,12,6,4,1,4,3,0,4,17,18.847765,7,-169.253785269601
2015,0.8333333333333334,0,1,31,0.1,56,12,10,12,7,6,8,4,6,3,0,7,16,13.333418,6,-122.22363154093425
2015,1.0,0,1,21,0.5,93,16,5,9,5,14,14,8,10,3,3,9,20,5.214308,2,-160.71538925170898
