year,month,day,ausleihen,subs,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph
2016,2,8,58,58,1.0,0.0,0.0,1.0,-0.38461538461538464,0.15384615384615385,85.0,17.23076923076923
2016,2,9,88,85,0.9166666666666666,0.0,1.0,1.0,-0.2777777777777778,0.06666666666666668,85.27777777777777,7.777777777777778
2016,2,10,82,81,0.9868421052631579,0.0,2.0,1.0,0.3157894736842105,0.08421052631578947,80.63157894736842,22.105263157894736
2016,2,11,71,68,0.9882352941176471,0.0,3.0,1.0,-5.294117647058823,0.06470588235294118,58.76470588235294,31.88235294117647
2016,2,12,61,58,0.959375,0.0,4.0,1.0,-5.5625,0.0,52.25,13.4375
2016,2,13,25,24,0.9615384615384616,0.0,5.0,0.0,-9.384615384615385,0.0,47.15384615384615,38.61538461538461
2016,2,14,15,12,0.8148148148148148,0.0,6.0,0.0,-9.777777777777779,0.0,31.555555555555557,12.88888888888889
2016,2,15,17,17,1.0,1.0,0.0,0.0,-2.75,0.6499999999999999,72.375,10.625
2016,2,16,72,70,0.925925925925926,0.0,1.0,1.0,7.0,1.338888888888889,92.05555555555556,30.27777777777778
2016,2,17,110,103,0.955842849960497,0.0,2.0,1.0,2.588235294117647,0.0,77.94117647058823,16.058823529411764
2016,2,18,89,84,0.9512345679012346,0.0,3.0,1.0,-1.4444444444444444,0.0,58.72222222222222,19.61111111111111
2016,2,19,92,82,0.8616246498599439,0.0,4.0,1.0,1.0,0.0,58.529411764705884,14.352941176470589
2016,2,20,214,142,0.7355826889160223,0.0,5.0,0.0,9.166666666666666,0.022222222222222223,80.38888888888889,22.11111111111111
2016,2,21,167,121,0.7934460147695441,0.0,6.0,0.0,8.294117647058824,0.29411764705882354,81.94117647058823,10.117647058823529
2016,2,22,157,144,0.9079866946778712,0.0,0.0,1.0,5.45,0.0,74.6,8.0
2016,2,23,69,68,0.9915966386554622,0.0,1.0,1.0,2.8823529411764706,0.7999999999999999,86.17647058823529,25.764705882352942
2016,2,24,32,32,1.0,0.0,2.0,1.0,9.266666666666667,2.1333333333333333,97.4,28.933333333333334
2016,2,25,110,101,0.9311612364243944,0.0,3.0,1.0,6.7894736842105265,0.12105263157894738,78.89473684210526,29.842105263157894
2016,2,26,98,89,0.9169590643274853,0.0,4.0,1.0,-0.15789473684210525,0.0,53.36842105263158,27.473684210526315
2016,2,27,77,66,0.775,0.0,5.0,0.0,1.8571428571428572,0.0,51.357142857142854,18.214285714285715
2016,2,28,329,203,0.7482011905701842,0.0,6.0,0.0,8.647058823529411,0.0,74.52941176470588,21.58823529411765
2016,2,29,146,137,0.9317048031333746,0.0,0.0,1.0,8.80952380952381,0.05714285714285714,78.85714285714286,21.80952380952381
2016,3,1,146,133,0.898435746352413,0.0,1.0,1.0,5.611111111111111,0.0,69.94444444444444,17.555555555555557
2016,3,2,101,97,0.9592592592592593,0.0,2.0,1.0,2.0555555555555554,0.16666666666666666,59.333333333333336,30.833333333333332
2016,3,3,90,85,0.9565826330532213,0.0,3.0,1.0,0.29411764705882354,0.0,39.529411764705884,10.470588235294118
2016,3,4,81,77,0.9541666666666666,0.0,4.0,1.0,0.625,0.1875,71.3125,21.875
2016,3,5,105,72,0.7903263403263403,0.0,5.0,0.0,1.9375,0.0,50.5,7.8125
2016,3,6,136,107,0.8276914508493456,0.0,6.0,0.0,4.933333333333334,0.0,47.46666666666667,7.533333333333333
2016,3,7,205,179,0.8975525294658926,0.0,0.0,1.0,7.888888888888889,0.0,77.05555555555556,19.22222222222222
2016,3,8,226,205,0.922083598093681,0.0,1.0,1.0,11.5,0.0,78.25,8.8125
2016,3,9,308,260,0.8225832595040986,0.0,2.0,1.0,15.105263157894736,0.0,69.78947368421052,11.631578947368421
2016,3,10,318,230,0.6798076824973684,0.0,3.0,1.0,17.1,0.034999999999999996,77.6,11.4
2016,3,11,259,194,0.7781065266609795,0.0,4.0,1.0,11.352941176470589,0.0,70.41176470588235,18.470588235294116
2016,3,12,299,204,0.8025340834497181,0.0,5.0,0.0,10.05,0.0,69.2,11.8
2016,3,13,204,141,0.7223537573537573,0.0,6.0,0.0,11.333333333333334,0.01666666666666667,72.66666666666667,9.0
2016,3,14,36,34,0.9523809523809524,0.0,0.0,1.0,6.571428571428571,0.7642857142857143,87.21428571428571,27.571428571428573
2016,3,15,181,169,0.9275724171874933,0.0,1.0,1.0,9.777777777777779,0.0,85.77777777777777,10.777777777777779
2016,3,16,207,189,0.9382791915686653,0.0,2.0,1.0,11.0,0.14736842105263157,84.26315789473684,8.842105263157896
2016,3,17,204,180,0.8989042003747887,0.0,3.0,1.0,10.85,0.025,68.5,12.95
2016,3,18,222,183,0.8522233908253135,0.0,4.0,1.0,8.421052631578947,0.0,61.473684210526315,22.31578947368421
2016,3,19,151,107,0.7801237161531279,0.0,5.0,0.0,5.235294117647059,0.0,47.76470588235294,8.647058823529411
2016,3,20,85,69,0.8047523656898657,0.0,6.0,0.0,2.6875,0.0125,56.625,17.1875
2016,3,21,143,131,0.9087542087542088,0.0,0.0,1.0,4.733333333333333,0.013333333333333334,52.0,22.8
2016,3,22,203,180,0.8965875336489373,0.0,1.0,1.0,6.722222222222222,0.0,58.333333333333336,20.61111111111111
2016,3,23,308,253,0.8330161031733462,0.0,2.0,1.0,13.368421052631579,0.0,72.15789473684211,12.894736842105264
2016,3,24,249,193,0.7465985290127447,0.0,3.0,1.0,8.777777777777779,0.0,80.61111111111111,18.555555555555557
2016,3,25,188,127,0.6696746357480942,0.0,4.0,1.0,13.333333333333334,0.43333333333333335,76.5,20.944444444444443
2016,3,26,276,141,0.5629347034683015,0.0,5.0,0.0,7.625,0.0,70.9375,13.1875
2016,3,27,166,84,0.6450841750841751,0.0,6.0,0.0,7.933333333333334,0.0,72.6,12.466666666666667
2016,3,28,131,118,0.9143963675213675,0.0,0.0,1.0,9.0,0.3625,78.4375,25.3125
2016,3,29,184,141,0.7898828038146924,0.0,1.0,1.0,6.352941176470588,0.0,55.1764705882353,30.529411764705884
2016,3,30,220,176,0.8119532514269356,0.0,2.0,1.0,7.2105263157894735,0.0,55.526315789473685,17.105263157894736
2016,3,31,301,256,0.8139342203564207,0.0,3.0,1.0,14.31578947368421,0.005263157894736842,75.94736842105263,26.63157894736842
2016,4,1,262,214,0.8376004666839513,0.0,4.0,1.0,16.94736842105263,0.6263157894736843,84.05263157894737,21.05263157894737
2016,4,2,120,85,0.7732787851982899,0.0,5.0,0.0,9.529411764705882,0.9764705882352942,82.05882352941177,12.470588235294118
2016,4,3,71,60,0.9056437389770723,0.0,6.0,0.0,2.2777777777777777,0.11666666666666667,59.166666666666664,31.055555555555557
2016,4,4,57,52,0.8462962962962963,0.0,0.0,1.0,3.1666666666666665,1.1666666666666667,88.22222222222223,16.72222222222222
2016,4,5,117,111,0.9703619909502262,0.0,1.0,1.0,-0.058823529411764705,0.0,58.11764705882353,22.58823529411765
2016,4,6,124,118,0.8900888585099112,0.0,2.0,1.0,5.052631578947368,0.0,61.473684210526315,19.894736842105264
2016,4,7,155,150,0.9434173669467787,1.0,3.0,0.0,11.0,0.7941176470588235,88.05882352941177,25.235294117647058
2016,4,8,154,140,0.8557422969187675,0.0,4.0,1.0,6.588235294117647,0.07058823529411765,62.88235294117647,22.823529411764707
2016,4,9,46,34,0.75,0.0,5.0,0.0,4.125,0.40625,72.125,21.625
2016,4,10,172,127,0.7447535465799222,0.0,6.0,0.0,4.928571428571429,0.0,57.714285714285715,16.214285714285715
2016,4,11,219,176,0.7976314072637601,0.0,0.0,1.0,11.555555555555555,0.03333333333333334,76.66666666666667,22.333333333333332
2016,4,12,126,119,0.9749373433583961,0.0,1.0,1.0,11.052631578947368,1.4052631578947368,76.57894736842105,19.42105263157895
2016,4,13,240,201,0.8387952198097125,0.0,2.0,1.0,11.166666666666666,0.005555555555555556,69.05555555555556,12.555555555555555
2016,4,14,257,217,0.8589161927397222,0.0,3.0,1.0,11.944444444444445,0.03333333333333334,68.16666666666667,12.833333333333334
2016,4,15,320,246,0.7933561305843915,0.0,4.0,1.0,10.38888888888889,0.11666666666666667,71.94444444444444,15.555555555555555
2016,4,16,399,234,0.7009523946548204,0.0,5.0,0.0,11.31578947368421,0.17894736842105263,75.05263157894737,16.94736842105263
2016,4,17,452,256,0.6855913670544306,0.0,6.0,0.0,11.894736842105264,0.01578947368421053,67.78947368421052,13.421052631578947
2016,4,18,439,343,0.7965331394256077,0.0,0.0,1.0,11.736842105263158,0.0,65.73684210526316,11.157894736842104
2016,4,19,358,285,0.8355406436280404,0.0,1.0,1.0,11.263157894736842,0.02631578947368421,73.78947368421052,14.842105263157896
2016,4,20,375,311,0.8365994497675001,0.0,2.0,1.0,11.166666666666666,0.1111111111111111,73.16666666666667,15.5
2016,4,21,333,272,0.7791688812277048,0.0,3.0,1.0,15.833333333333334,0.044444444444444446,65.88888888888889,16.22222222222222
2016,4,22,463,289,0.691500699844452,0.0,4.0,1.0,18.25,0.44000000000000006,81.35,10.7
2016,4,23,363,213,0.5997685219063458,0.0,5.0,0.0,14.68421052631579,0.46315789473684216,69.78947368421052,17.894736842105264
2016,4,24,436,264,0.7042398975124646,0.0,6.0,0.0,13.470588235294118,0.0,55.23529411764706,9.176470588235293
2016,4,25,331,228,0.733907020052531,0.0,0.0,1.0,14.894736842105264,0.015789473684210527,67.57894736842105,6.894736842105263
2016,4,26,204,178,0.8232480789250567,0.0,1.0,1.0,13.38888888888889,1.0222222222222221,86.33333333333333,12.11111111111111
2016,4,27,325,221,0.7748655095106676,0.0,2.0,1.0,11.894736842105264,0.0,66.52631578947368,10.947368421052632
2016,4,28,220,166,0.7503568891324646,0.0,3.0,1.0,10.1,0.125,63.15,9.9
2016,4,29,204,164,0.792570796363366,0.0,4.0,1.0,10.0,0.09444444444444444,69.33333333333333,14.722222222222221
2016,4,30,340,170,0.4959860555383309,0.0,5.0,0.0,11.722222222222221,0.0,64.55555555555556,11.444444444444445
2016,5,1,37,32,0.796875,0.0,6.0,0.0,8.625,0.49374999999999997,88.375,13.25
2016,5,2,228,190,0.8636335160844966,0.0,0.0,1.0,11.88888888888889,0.2222222222222222,88.33333333333333,5.833333333333333
2016,5,3,154,144,0.948982561985658,0.0,1.0,1.0,10.823529411764707,0.5705882352941176,93.3529411764706,11.705882352941176
2016,5,4,168,139,0.8691652097902098,0.0,2.0,1.0,9.35,0.175,91.55,16.05
2016,5,5,233,191,0.8515794873193187,0.0,3.0,1.0,9.68421052631579,0.03157894736842106,85.3157894736842,17.63157894736842
2016,5,6,109,97,0.9443319838056681,0.0,4.0,1.0,9.68421052631579,0.5578947368421052,92.89473684210526,22.31578947368421
2016,5,7,261,191,0.7905341635836004,0.0,5.0,0.0,11.05,0.015000000000000003,90.2,9.0
2016,5,8,458,298,0.7640123196784283,0.0,6.0,0.0,12.705882352941176,0.21764705882352942,65.70588235294117,18.941176470588236
2016,5,9,377,303,0.8116855185371046,1.0,0.0,0.0,15.222222222222221,0.0,59.833333333333336,17.444444444444443
2016,5,10,309,253,0.7961650002063536,0.0,1.0,1.0,12.380952380952381,0.0,65.0952380952381,11.619047619047619
2016,5,11,416,344,0.8393200815740415,0.0,2.0,1.0,17.0,0.0,66.52631578947368,8.263157894736842
2016,5,12,413,290,0.706112547831489,0.0,3.0,1.0,17.75,0.0,68.0,9.2
2016,5,13,162,145,0.8992223205071502,0.0,4.0,1.0,15.842105263157896,0.5157894736842106,92.89473684210526,9.736842105263158
2016,5,14,477,285,0.7162975807639236,0.0,5.0,0.0,16.25,0.22000000000000003,75.7,16.15
2016,5,15,179,143,0.8252329286851294,0.0,6.0,0.0,10.411764705882353,0.14705882352941177,57.64705882352941,27.176470588235293
2016,5,16,291,244,0.8088399108148253,0.0,0.0,1.0,11.88888888888889,0.0,57.05555555555556,24.38888888888889
2016,5,17,283,240,0.7999021089593739,0.0,1.0,1.0,13.333333333333334,0.047619047619047616,72.66666666666667,14.380952380952381
2016,5,18,303,252,0.874828901242387,0.0,2.0,1.0,11.5,0.0,70.83333333333333,12.5
2016,5,19,381,319,0.8854913219783898,0.0,3.0,1.0,15.238095238095237,0.10476190476190476,78.28571428571429,11.238095238095237
2016,5,20,473,360,0.8238661144371916,0.0,4.0,1.0,16.285714285714285,0.028571428571428574,74.28571428571429,11.428571428571429
2016,5,21,255,176,0.7206383547008547,0.0,5.0,0.0,17.4375,0.1875,72.75,10.875
2016,5,22,439,278,0.6660781098186186,0.0,6.0,0.0,16.22222222222222,0.061111111111111116,74.33333333333333,8.444444444444445
2016,5,23,373,322,0.8436760488647821,0.0,0.0,1.0,17.25,0.365,75.55,8.15
2016,5,24,223,201,0.9564200650073226,0.0,1.0,1.0,16.63157894736842,1.0,86.6842105263158,6.473684210526316
2016,5,25,427,364,0.8702520207065662,0.0,2.0,1.0,21.454545454545453,0.0,63.81818181818182,12.636363636363637
2016,5,26,423,357,0.8400277703702881,0.0,3.0,1.0,19.40909090909091,0.0,76.04545454545455,15.181818181818182
2016,5,27,507,382,0.8344914176590986,0.0,4.0,1.0,22.523809523809526,1.6761904761904762,80.85714285714286,16.095238095238095
2016,5,28,439,259,0.6457142475993322,0.0,5.0,0.0,24.333333333333332,1.3,78.33333333333333,15.857142857142858
2016,5,29,426,246,0.6118187110790771,0.0,6.0,0.0,22.61111111111111,0.2888888888888889,80.61111111111111,13.777777777777779
2016,5,30,334,217,0.7579087666692943,1.0,0.0,0.0,21.38888888888889,1.6555555555555557,89.38888888888889,11.166666666666666
2016,5,31,431,369,0.8710448420974736,0.0,1.0,1.0,20.36842105263158,0.09473684210526316,76.94736842105263,11.526315789473685
2016,6,1,445,379,0.8648952146709499,0.0,2.0,1.0,21.0,0.005,68.25,11.35
2016,6,2,452,377,0.8317775628616657,0.0,3.0,1.0,19.3,0.0,79.95,11.45
2016,6,3,278,242,0.8646053492074125,0.0,4.0,1.0,18.304347826086957,0.2434782608695652,90.91304347826087,6.391304347826087
2016,6,4,486,292,0.6996590336257944,0.0,5.0,0.0,21.7,0.24000000000000005,83.85,8.7
2016,6,5,157,123,0.7875818625818626,0.0,6.0,0.0,19.7,1.095,94.45,13.4
2016,6,6,452,395,0.8809526338224491,0.0,0.0,1.0,22.57894736842105,0.021052631578947368,69.42105263157895,15.473684210526315
2016,6,7,359,323,0.9121534690799397,0.0,1.0,1.0,21.95,0.005,64.6,15.1
2016,6,8,284,260,0.9370747665191205,0.0,2.0,1.0,15.157894736842104,0.26842105263157895,67.84210526315789,21.36842105263158
