year,sub,holidays,workday,tempC,precipMM,humidity,windspeedKmph,weekday,hour,weatherDesc2,month,predict,count,differenz_prozent
2015,rate,0,1,-6,0.0,62,34,2,10,Sunny,1,,,
2015,rate,0,1,-6,0.0,60,32,2,11,Patchy heavy snow,1,,,
2015,rate,0,1,-5,0.0,57,30,2,12,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.0,57,32,2,13,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.0,58,35,2,14,Blizzard,1,,,
2015,rate,0,1,-7,0.0,58,37,2,15,Blizzard,1,,,
2015,rate,0,1,-9,0.0,61,35,2,16,Blizzard,1,,,
2015,rate,0,1,-11,0.0,65,33,2,17,Patchy snow possible,1,,,
2015,rate,0,1,-12,0.0,68,30,2,18,Patchy snow possible,1,,,
2015,rate,0,1,-14,0.0,72,27,2,21,Patchy snow possible,1,,,
2015,rate,0,1,-15,0.0,75,24,2,23,Clear,1,,,
2015,rate,0,1,-13,0.0,78,18,3,7,Sunny,1,,,
2015,rate,0,1,-12,0.0,76,22,3,8,Partly cloudy,1,,,
2015,rate,0,1,-11,0.0,75,27,3,9,Partly cloudy,1,,,
2015,rate,0,1,-9,0.0,70,21,3,11,Sunny,1,,,
2015,rate,0,1,-8,0.0,69,20,3,13,Sunny,1,,,
2015,rate,0,1,-8,0.0,70,20,3,14,Sunny,1,,,
2015,rate,0,1,-8,0.0,72,21,3,15,Sunny,1,,,
2015,rate,0,1,-9,0.0,75,19,3,16,Sunny,1,,,
2015,rate,0,1,-10,0.0,78,17,3,17,Sunny,1,,,
2015,rate,0,1,-11,0.0,82,15,3,18,Clear,1,,,
2015,rate,0,1,-11,0.0,80,15,3,19,Clear,1,,,
2015,rate,0,1,-11,0.0,78,16,3,20,Partly cloudy,1,,,
2015,rate,0,1,-11,0.0,77,16,3,21,Partly cloudy,1,,,
2015,rate,0,1,-6,0.1,81,22,4,7,Blizzard,1,,,
2015,rate,0,1,-5,0.2,82,26,4,8,Blizzard,1,,,
2015,rate,0,1,-2,0.3,71,26,4,11,Patchy heavy snow,1,,,
2015,rate,0,1,-1,0.4,65,24,4,12,Patchy heavy snow,1,,,
2015,rate,0,1,-1,0.0,69,24,4,14,Patchy light snow,1,,,
2015,rate,0,1,-3,0.0,72,22,4,16,Patchy light snow,1,,,
2015,rate,0,1,-4,0.0,73,20,4,17,Patchy snow possible,1,,,
2015,rate,0,1,-6,0.0,74,18,4,18,Patchy snow possible,1,,,
2015,rate,0,1,-6,0.0,75,19,4,19,Patchy snow possible,1,,,
2015,rate,0,1,-6,0.0,75,20,4,20,Clear,1,,,
2015,rate,0,1,-6,0.0,75,21,4,21,Clear,1,,,
2015,rate,0,0,-10,0.0,80,21,5,4,Clear,1,,,
2015,rate,0,0,-11,0.0,78,21,5,7,Sunny,1,,,
2015,rate,0,0,-9,0.0,70,26,5,9,Sunny,1,,,
2015,rate,0,0,-9,0.0,68,23,5,10,Sunny,1,,,
2015,rate,0,0,-8,0.0,66,20,5,11,Sunny,1,,,
2015,rate,0,0,-7,0.0,64,17,5,12,Sunny,1,,,
2015,rate,0,0,-7,0.0,65,18,5,13,Sunny,1,,,
2015,rate,0,0,-7,0.0,65,18,5,14,Sunny,1,,,
2015,rate,0,0,-7,0.0,66,19,5,15,Sunny,1,,,
2015,rate,0,0,-8,0.0,70,18,5,16,Sunny,1,,,
2015,rate,0,0,-10,0.0,78,15,5,18,Clear,1,,,
2015,rate,0,0,-10,0.0,77,16,5,19,Clear,1,,,
2015,rate,0,0,-6,0.0,67,9,6,8,Sunny,1,,,
2015,rate,0,0,-4,0.0,59,11,6,10,Sunny,1,,,
2015,rate,0,0,-2,0.0,55,13,6,11,Sunny,1,,,
2015,rate,0,0,-1,0.0,51,14,6,12,Sunny,1,,,
2015,rate,0,0,-1,0.0,55,14,6,13,Sunny,1,,,
2015,rate,0,0,0,0.0,58,15,6,14,Sunny,1,,,
2015,rate,0,0,1,0.0,61,15,6,15,Sunny,1,,,
2015,rate,0,0,0,0.0,64,14,6,16,Sunny,1,,,
2015,rate,0,0,-1,0.0,66,13,6,17,Sunny,1,,,
2015,rate,0,0,-1,0.0,69,12,6,18,Clear,1,,,
2015,rate,0,0,-1,0.0,71,13,6,19,Clear,1,,,
2015,rate,0,0,-1,0.0,72,14,6,20,Partly cloudy,1,,,
2015,rate,0,0,-1,0.0,74,14,6,22,Partly cloudy,1,,,
2015,rate,0,1,-2,0.0,76,12,0,0,Cloudy,1,,,
2015,rate,0,1,0,0.1,79,11,0,7,Freezing drizzle,1,,,
2015,rate,0,1,0,0.4,83,13,0,8,Light rain,1,,,
2015,rate,0,1,1,0.5,86,15,0,9,Light rain,1,,,
2015,rate,0,1,2,1.3,92,6,0,11,Moderate rain,1,,,
2015,rate,0,1,2,0.8,97,11,0,15,Light rain,1,,,
2015,rate,0,1,2,0.4,96,10,0,16,Light rain,1,,,
2015,rate,0,1,2,0.9,94,9,0,17,Moderate rain,1,,,
2015,rate,0,1,2,1.2,93,8,0,18,Moderate rain,1,,,
2015,rate,0,1,2,0.6,92,11,0,19,Moderate rain,1,,,
2015,rate,0,1,2,0.1,91,14,0,20,Patchy light drizzle,1,,,
2015,rate,0,1,2,0.1,91,18,0,21,Patchy light drizzle,1,,,
2015,rate,0,1,-5,0.0,82,18,1,6,Sunny,1,,,
2015,rate,0,1,-5,0.0,78,22,1,7,Sunny,1,,,
2015,rate,0,1,-5,0.0,73,26,1,8,Sunny,1,,,
2015,rate,0,1,-5,0.0,69,29,1,9,Sunny,1,,,
2015,rate,0,1,-5,0.0,67,26,1,10,Sunny,1,,,
2015,rate,0,1,-5,0.0,62,18,1,12,Sunny,1,,,
2015,rate,0,1,-5,0.0,63,21,1,13,Sunny,1,,,
2015,rate,0,1,-5,0.0,63,23,1,14,Sunny,1,,,
2015,rate,0,1,-6,0.0,63,25,1,15,Sunny,1,,,
2015,rate,0,1,-6,0.0,66,20,1,16,Sunny,1,,,
2015,rate,0,1,-7,0.0,68,15,1,17,Sunny,1,,,
2015,rate,0,1,-8,0.0,71,10,1,18,Clear,1,,,
2015,rate,0,1,-8,0.0,67,13,1,19,Clear,1,,,
2015,rate,0,1,-7,0.0,63,16,1,20,Partly cloudy,1,,,
2015,rate,0,1,-7,0.0,66,17,2,6,Overcast,1,,,
2015,rate,0,1,-6,0.0,68,18,2,7,Overcast,1,,,
2015,rate,0,1,-5,0.0,69,19,2,8,Partly cloudy,1,,,
2015,rate,0,1,-4,0.0,71,20,2,9,Partly cloudy,1,,,
2015,rate,0,1,-2,0.0,67,16,2,11,Partly cloudy,1,,,
2015,rate,0,1,-1,0.0,65,14,2,12,Partly cloudy,1,,,
2015,rate,0,1,-1,0.0,65,13,2,14,Partly cloudy,1,,,
2015,rate,0,1,-1,0.0,66,12,2,15,Partly cloudy,1,,,
2015,rate,0,1,-1,0.0,68,12,2,16,Partly cloudy,1,,,
2015,rate,0,1,-1,0.0,70,11,2,17,Sunny,1,,,
2015,rate,0,1,-2,0.0,72,11,2,18,Clear,1,,,
2015,rate,0,1,-2,0.0,73,12,2,19,Clear,1,,,
2015,rate,0,1,-2,0.0,74,13,2,20,Partly cloudy,1,,,
2015,rate,0,1,-3,0.0,75,10,3,7,Sunny,1,,,
2015,rate,0,1,-3,0.0,73,11,3,8,Sunny,1,,,
2015,rate,0,1,-3,0.0,70,12,3,9,Sunny,1,,,
2015,rate,0,1,-1,0.0,64,12,3,10,Sunny,1,,,
2015,rate,0,1,1,0.0,54,14,3,12,Sunny,1,,,
2015,rate,0,1,1,0.0,57,15,3,13,Sunny,1,,,
2015,rate,0,1,1,0.0,60,16,3,14,Patchy snow possible,1,,,
2015,rate,0,1,0,0.0,63,17,3,15,Patchy snow possible,1,,,
2015,rate,0,1,0,0.0,65,16,3,16,Patchy snow possible,1,,,
2015,rate,0,1,-1,0.0,67,15,3,17,Sunny,1,,,
2015,rate,0,1,-1,0.0,69,14,3,18,Clear,1,,,
2015,rate,0,1,-1,0.0,67,15,3,19,Clear,1,,,
2015,rate,0,1,-1,0.0,63,18,3,21,Clear,1,,,
2015,rate,0,1,-1,0.0,62,18,3,22,Clear,1,,,
2015,rate,0,1,0,0.0,74,21,4,7,Sunny,1,,,
