hour,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,year,month,day,weekday,holidays,workday,rueckgaben,ausleihen
0,-3,0.0,52,15,Clear,2015,1,1,3,1,0,1,0
1,-4,0.0,51,18,Clear,2015,1,1,3,1,0,0,0
2,-4,0.0,50,21,Clear,2015,1,1,3,1,0,1,1
3,-4,0.0,49,24,Clear,2015,1,1,3,1,0,1,0
4,-4,0.0,47,20,Clear,2015,1,1,3,1,0,0,0
5,-4,0.0,45,16,Clear,2015,1,1,3,1,0,0,0
6,-4,0.0,43,12,Sunny,2015,1,1,3,1,0,0,0
7,-3,0.0,42,17,Sunny,2015,1,1,3,1,0,0,0
8,-3,0.0,40,21,Sunny,2015,1,1,3,1,0,0,0
9,-2,0.0,39,26,Sunny,2015,1,1,3,1,0,0,0
10,-1,0.0,37,25,Sunny,2015,1,1,3,1,0,2,3
11,0,0.0,36,24,Sunny,2015,1,1,3,1,0,2,3
12,2,0.0,35,22,Sunny,2015,1,1,3,1,0,2,2
13,2,0.0,37,23,Sunny,2015,1,1,3,1,0,2,5
14,2,0.0,39,24,Sunny,2015,1,1,3,1,0,4,4
15,2,0.0,41,25,Sunny,2015,1,1,3,1,0,1,2
16,1,0.0,44,26,Sunny,2015,1,1,3,1,0,5,7
17,1,0.0,47,26,Sunny,2015,1,1,3,1,0,5,2
18,0,0.0,50,27,Clear,2015,1,1,3,1,0,0,0
19,0,0.0,53,27,Clear,2015,1,1,3,1,0,0,0
20,0,0.0,56,26,Clear,2015,1,1,3,1,0,0,0
21,0,0.0,59,26,Clear,2015,1,1,3,1,0,0,0
22,0,0.0,59,23,Clear,2015,1,1,3,1,0,0,1
23,0,0.0,58,20,Clear,2015,1,1,3,1,0,0,1
0,0,0.0,57,18,Clear,2015,1,2,4,0,1,0,0
1,0,0.0,61,19,Clear,2015,1,2,4,0,1,0,0
2,0,0.0,64,21,Clear,2015,1,2,4,0,1,0,0
3,0,0.0,68,22,Clear,2015,1,2,4,0,1,0,0
4,-1,0.0,69,20,Clear,2015,1,2,4,0,1,0,0
5,-1,0.0,70,18,Clear,2015,1,2,4,0,1,1,0
6,-1,0.0,72,15,Sunny,2015,1,2,4,0,1,0,0
7,0,0.0,68,19,Sunny,2015,1,2,4,0,1,5,0
8,2,0.0,64,22,Sunny,2015,1,2,4,0,1,5,4
9,3,0.0,60,26,Sunny,2015,1,2,4,0,1,6,5
10,3,0.0,57,24,Sunny,2015,1,2,4,0,1,3,6
11,4,0.0,54,23,Sunny,2015,1,2,4,0,1,7,0
12,5,0.0,51,22,Sunny,2015,1,2,4,0,1,2,2
13,4,0.0,53,20,Sunny,2015,1,2,4,0,1,6,8
14,4,0.0,54,19,Sunny,2015,1,2,4,0,1,11,11
15,3,0.0,56,18,Sunny,2015,1,2,4,0,1,11,7
16,2,0.0,59,16,Sunny,2015,1,2,4,0,1,4,6
17,2,0.0,63,14,Sunny,2015,1,2,4,0,1,5,6
18,1,0.0,66,12,Clear,2015,1,2,4,0,1,2,4
19,1,0.0,66,12,Clear,2015,1,2,4,0,1,2,0
20,1,0.0,67,12,Partly cloudy,2015,1,2,4,0,1,3,0
21,1,0.0,68,12,Partly cloudy,2015,1,2,4,0,1,1,0
22,1,0.0,69,12,Partly cloudy,2015,1,2,4,0,1,1,0
23,0,0.0,71,12,Cloudy,2015,1,2,4,0,1,0,0
0,0,0.0,73,12,Cloudy,2015,1,3,5,0,0,0,0
1,0,0.0,73,12,Cloudy,2015,1,3,5,0,0,0,0
2,0,0.0,73,12,Clear,2015,1,3,5,0,0,0,0
3,0,0.0,73,12,Clear,2015,1,3,5,0,0,0,0
4,0,0.0,74,11,Clear,2015,1,3,5,0,0,0,0
5,0,0.0,75,10,Clear,2015,1,3,5,0,0,0,0
6,0,0.0,75,9,Sunny,2015,1,3,5,0,0,0,0
7,1,0.0,72,13,Sunny,2015,1,3,5,0,0,0,0
8,2,0.0,69,16,Cloudy,2015,1,3,5,0,0,1,1
9,2,0.0,66,20,Cloudy,2015,1,3,5,0,0,3,0
10,3,0.0,71,16,Cloudy,2015,1,3,5,0,0,2,2
11,3,0.4,75,13,Light rain,2015,1,3,5,0,0,9,10
12,4,0.6,80,9,Light rain,2015,1,3,5,0,0,4,6
13,4,0.3,84,12,Light rain,2015,1,3,5,0,0,2,2
14,4,0.8,88,16,Light rain,2015,1,3,5,0,0,1,0
15,4,1.1,92,19,Light rain,2015,1,3,5,0,0,1,0
16,5,0.5,94,16,Light rain,2015,1,3,5,0,0,0,3
17,5,2.9,95,14,Heavy rain,2015,1,3,5,0,0,0,0
18,6,3.9,97,11,Heavy rain,2015,1,3,5,0,0,0,1
19,6,2.0,97,13,Heavy rain,2015,1,3,5,0,0,0,0
20,6,0.8,97,14,Light rain,2015,1,3,5,0,0,0,0
21,6,1.1,98,15,Light rain,2015,1,3,5,0,0,0,0
22,6,0.6,98,12,Light rain,2015,1,3,5,0,0,0,0
23,7,1.1,98,9,Moderate rain,2015,1,3,5,0,0,0,1
0,7,2.3,99,5,Moderate rain,2015,1,4,6,0,0,0,0
1,7,1.1,98,9,Moderate rain,2015,1,4,6,0,0,0,0
2,7,0.2,98,12,Light drizzle,2015,1,4,6,0,0,0,0
3,7,0.2,97,16,Light drizzle,2015,1,4,6,0,0,0,0
4,7,0.1,97,13,Light drizzle,2015,1,4,6,0,0,0,0
5,7,0.3,97,11,Light rain,2015,1,4,6,0,0,0,0
6,7,0.4,97,9,Light rain,2015,1,4,6,0,0,2,1
7,7,0.2,96,13,Light rain,2015,1,4,6,0,0,0,0
8,6,0.3,95,17,Light rain,2015,1,4,6,0,0,0,0
9,6,0.4,94,22,Light rain,2015,1,4,6,0,0,0,1
10,7,0.2,94,18,Light rain,2015,1,4,6,0,0,0,3
11,9,0.3,94,14,Light rain,2015,1,4,6,0,0,3,6
12,10,0.4,95,11,Light rain,2015,1,4,6,0,0,5,8
13,11,0.2,94,15,Light rain,2015,1,4,6,0,0,3,2
14,11,0.0,93,19,Partly cloudy,2015,1,4,6,0,0,7,6
15,11,0.0,92,23,Partly cloudy,2015,1,4,6,0,0,5,2
16,11,0.0,94,18,Partly cloudy,2015,1,4,6,0,0,4,8
17,11,0.4,95,13,Light rain,2015,1,4,6,0,0,3,4
18,11,0.5,97,8,Light rain,2015,1,4,6,0,0,5,0
19,11,0.2,92,16,Light rain,2015,1,4,6,0,0,2,1
20,10,1.1,86,25,Moderate rain at times,2015,1,4,6,0,0,0,1
21,10,1.4,81,34,Moderate rain at times,2015,1,4,6,0,0,0,0
22,8,0.7,80,30,Moderate rain at times,2015,1,4,6,0,0,1,1
23,6,1.1,80,25,Patchy rain possible,2015,1,4,6,0,0,0,0
0,4,2.2,80,21,Patchy rain possible,2015,1,5,0,0,1,0,0
1,4,1.1,79,23,Patchy rain possible,2015,1,5,0,0,1,0,1
2,4,0.0,79,24,Partly cloudy,2015,1,5,0,0,1,0,0
3,4,0.0,79,26,Partly cloudy,2015,1,5,0,0,1,0,0
4,3,0.0,76,25,Partly cloudy,2015,1,5,0,0,1,0,0
5,2,0.0,73,25,Patchy snow possible,2015,1,5,0,0,1,1,0
6,0,0.0,70,24,Patchy snow possible,2015,1,5,0,0,1,5,5
7,0,0.0,65,28,Patchy snow possible,2015,1,5,0,0,1,9,4
8,0,0.0,61,32,Patchy moderate snow,2015,1,5,0,0,1,19,12
9,0,0.0,57,36,Patchy moderate snow,2015,1,5,0,0,1,7,4
10,0,0.0,55,34,Patchy moderate snow,2015,1,5,0,0,1,1,3
11,0,0.0,53,31,Blizzard,2015,1,5,0,0,1,4,2
12,0,0.0,51,29,Blizzard,2015,1,5,0,0,1,2,4
13,0,0.0,51,29,Blizzard,2015,1,5,0,0,1,4,1
14,0,0.0,50,30,Blowing snow,2015,1,5,0,0,1,2,2
15,0,0.0,49,30,Blowing snow,2015,1,5,0,0,1,5,8
16,-2,0.0,50,27,Blowing snow,2015,1,5,0,0,1,4,3
17,-3,0.0,51,24,Patchy snow possible,2015,1,5,0,0,1,2,12
18,-4,0.0,52,21,Patchy snow possible,2015,1,5,0,0,1,8,11
19,-5,0.0,50,22,Patchy snow possible,2015,1,5,0,0,1,3,4
20,-5,0.0,47,23,Partly cloudy,2015,1,5,0,0,1,1,1
21,-6,0.0,45,24,Partly cloudy,2015,1,5,0,0,1,1,2
22,-6,0.0,43,22,Partly cloudy,2015,1,5,0,0,1,1,0
23,-6,0.0,41,19,Clear,2015,1,5,0,0,1,0,0
0,-6,0.0,39,16,Clear,2015,1,6,1,0,1,0,0
1,-6,0.0,39,15,Clear,2015,1,6,1,0,1,0,0
2,-6,0.0,40,14,Partly cloudy,2015,1,6,1,0,1,0,0
3,-6,0.0,41,13,Partly cloudy,2015,1,6,1,0,1,0,0
4,-6,0.0,42,10,Partly cloudy,2015,1,6,1,0,1,0,2
5,-6,0.0,43,8,Cloudy,2015,1,6,1,0,1,1,0
6,-6,0.0,44,5,Cloudy,2015,1,6,1,0,1,6,0
7,-6,0.0,53,6,Cloudy,2015,1,6,1,0,1,5,7
8,-7,0.1,61,7,Heavy snow,2015,1,6,1,0,1,12,4
9,-7,0.1,70,8,Heavy snow,2015,1,6,1,0,1,0,3
10,-6,0.1,70,8,Heavy snow,2015,1,6,1,0,1,0,1
11,-6,0.2,70,7,Heavy snow,2015,1,6,1,0,1,1,3
12,-5,0.3,71,7,Heavy snow,2015,1,6,1,0,1,0,2
13,-5,0.2,71,8,Heavy snow,2015,1,6,1,0,1,0,0
14,-5,0.1,71,10,Heavy snow,2015,1,6,1,0,1,3,1
15,-5,0.1,72,12,Heavy snow,2015,1,6,1,0,1,2,0
16,-5,0.1,73,11,Heavy snow,2015,1,6,1,0,1,1,4
17,-5,0.1,74,10,Patchy heavy snow,2015,1,6,1,0,1,3,7
18,-6,0.2,75,10,Patchy heavy snow,2015,1,6,1,0,1,5,3
19,-6,0.1,80,12,Patchy heavy snow,2015,1,6,1,0,1,6,4
20,-7,0.0,85,14,Patchy snow possible,2015,1,6,1,0,1,1,1
21,-8,0.0,90,16,Patchy snow possible,2015,1,6,1,0,1,0,3
22,-8,0.0,88,15,Patchy snow possible,2015,1,6,1,0,1,0,0
23,-8,0.0,86,14,Patchy light snow,2015,1,6,1,0,1,0,0
0,-8,0.0,84,13,Patchy light snow,2015,1,7,2,0,1,0,0
1,-8,0.0,83,15,Patchy light snow,2015,1,7,2,0,1,0,0
2,-8,0.0,83,18,Partly cloudy,2015,1,7,2,0,1,0,0
3,-8,0.0,82,20,Partly cloudy,2015,1,7,2,0,1,0,0
4,-8,0.0,82,18,Partly cloudy,2015,1,7,2,0,1,0,0
5,-8,0.0,83,15,Clear,2015,1,7,2,0,1,1,0
6,-8,0.0,83,13,Sunny,2015,1,7,2,0,1,2,0
7,-8,0.0,77,21,Sunny,2015,1,7,2,0,1,1,2
8,-7,0.0,71,28,Sunny,2015,1,7,2,0,1,7,5
9,-6,0.0,65,36,Sunny,2015,1,7,2,0,1,3,2
10,-6,0.0,62,34,Sunny,2015,1,7,2,0,1,0,1
11,-6,0.0,60,32,Patchy heavy snow,2015,1,7,2,0,1,0,2
12,-5,0.0,57,30,Patchy heavy snow,2015,1,7,2,0,1,0,1
13,-6,0.0,57,32,Patchy heavy snow,2015,1,7,2,0,1,1,1
14,-6,0.0,58,35,Blizzard,2015,1,7,2,0,1,1,1
15,-7,0.0,58,37,Blizzard,2015,1,7,2,0,1,0,1
16,-9,0.0,61,35,Blizzard,2015,1,7,2,0,1,0,2
17,-11,0.0,65,33,Patchy snow possible,2015,1,7,2,0,1,3,5
18,-12,0.0,68,30,Patchy snow possible,2015,1,7,2,0,1,4,1
19,-13,0.0,69,29,Patchy snow possible,2015,1,7,2,0,1,2,0
20,-14,0.0,71,28,Patchy snow possible,2015,1,7,2,0,1,0,0
21,-14,0.0,72,27,Patchy snow possible,2015,1,7,2,0,1,0,1
22,-14,0.0,74,26,Patchy snow possible,2015,1,7,2,0,1,0,0
23,-15,0.0,75,24,Clear,2015,1,7,2,0,1,1,1
0,-15,0.0,77,22,Clear,2015,1,8,3,0,1,0,0
1,-15,0.0,77,22,Clear,2015,1,8,3,0,1,0,0
2,-14,0.0,77,22,Clear,2015,1,8,3,0,1,0,0
3,-14,0.0,77,23,Clear,2015,1,8,3,0,1,0,0
4,-14,0.0,78,20,Clear,2015,1,8,3,0,1,0,0
5,-14,0.0,79,16,Clear,2015,1,8,3,0,1,0,0
6,-14,0.0,80,13,Sunny,2015,1,8,3,0,1,1,0
7,-13,0.0,78,18,Sunny,2015,1,8,3,0,1,2,4
8,-12,0.0,76,22,Partly cloudy,2015,1,8,3,0,1,2,4
9,-11,0.0,75,27,Partly cloudy,2015,1,8,3,0,1,2,1
10,-10,0.0,72,24,Partly cloudy,2015,1,8,3,0,1,3,0
11,-9,0.0,70,21,Sunny,2015,1,8,3,0,1,0,1
12,-8,0.0,67,19,Sunny,2015,1,8,3,0,1,0,0
13,-8,0.0,69,20,Sunny,2015,1,8,3,0,1,0,2
14,-8,0.0,70,20,Sunny,2015,1,8,3,0,1,2,1
15,-8,0.0,72,21,Sunny,2015,1,8,3,0,1,5,2
16,-9,0.0,75,19,Sunny,2015,1,8,3,0,1,2,3
17,-10,0.0,78,17,Sunny,2015,1,8,3,0,1,2,5
18,-11,0.0,82,15,Clear,2015,1,8,3,0,1,6,3
19,-11,0.0,80,15,Clear,2015,1,8,3,0,1,4,1
20,-11,0.0,78,16,Partly cloudy,2015,1,8,3,0,1,3,2
21,-11,0.0,77,16,Partly cloudy,2015,1,8,3,0,1,0,1
22,-11,0.0,75,17,Partly cloudy,2015,1,8,3,0,1,1,0
23,-10,0.0,73,18,Cloudy,2015,1,8,3,0,1,1,0
0,-9,0.0,72,19,Cloudy,2015,1,9,4,0,1,0,0
1,-8,0.0,72,22,Cloudy,2015,1,9,4,0,1,0,0
2,-7,0.0,72,25,Partly cloudy,2015,1,9,4,0,1,0,0
3,-6,0.0,72,28,Partly cloudy,2015,1,9,4,0,1,0,0
4,-6,0.0,75,25,Partly cloudy,2015,1,9,4,0,1,0,0
5,-6,0.1,78,22,Blizzard,2015,1,9,4,0,1,1,0
6,-6,0.1,81,19,Blizzard,2015,1,9,4,0,1,0,0
7,-6,0.1,81,22,Blizzard,2015,1,9,4,0,1,1,1
8,-5,0.2,82,26,Blizzard,2015,1,9,4,0,1,3,1
9,-4,0.3,83,29,Blizzard,2015,1,9,4,0,1,0,0
10,-3,0.2,77,28,Blizzard,2015,1,9,4,0,1,1,0
11,-2,0.3,71,26,Patchy heavy snow,2015,1,9,4,0,1,1,1
12,-1,0.4,65,24,Patchy heavy snow,2015,1,9,4,0,1,3,1
13,-1,0.2,67,24,Patchy heavy snow,2015,1,9,4,0,1,1,0
14,-1,0.0,69,24,Patchy light snow,2015,1,9,4,0,1,5,3
15,-2,0.0,71,24,Patchy light snow,2015,1,9,4,0,1,3,0
16,-3,0.0,72,22,Patchy light snow,2015,1,9,4,0,1,1,4
17,-4,0.0,73,20,Patchy snow possible,2015,1,9,4,0,1,2,5
18,-6,0.0,74,18,Patchy snow possible,2015,1,9,4,0,1,2,4
19,-6,0.0,75,19,Patchy snow possible,2015,1,9,4,0,1,2,1
20,-6,0.0,75,20,Clear,2015,1,9,4,0,1,0,2
21,-6,0.0,75,21,Clear,2015,1,9,4,0,1,0,1
22,-7,0.0,76,21,Clear,2015,1,9,4,0,1,1,0
23,-8,0.0,77,21,Clear,2015,1,9,4,0,1,0,0
0,-8,0.0,79,21,Clear,2015,1,10,5,0,0,0,0
1,-9,0.0,79,22,Clear,2015,1,10,5,0,0,0,0
2,-9,0.0,79,22,Clear,2015,1,10,5,0,0,0,0
3,-9,0.0,80,23,Clear,2015,1,10,5,0,0,0,0
4,-10,0.0,80,21,Clear,2015,1,10,5,0,0,0,1
5,-11,0.0,81,19,Clear,2015,1,10,5,0,0,0,0
6,-11,0.0,82,18,Sunny,2015,1,10,5,0,0,0,0
7,-11,0.0,78,21,Sunny,2015,1,10,5,0,0,0,1
8,-10,0.0,74,23,Sunny,2015,1,10,5,0,0,0,0
9,-9,0.0,70,26,Sunny,2015,1,10,5,0,0,0,3
10,-9,0.0,68,23,Sunny,2015,1,10,5,0,0,2,2
11,-8,0.0,66,20,Sunny,2015,1,10,5,0,0,0,1
12,-7,0.0,64,17,Sunny,2015,1,10,5,0,0,0,2
13,-7,0.0,65,18,Sunny,2015,1,10,5,0,0,2,2
14,-7,0.0,65,18,Sunny,2015,1,10,5,0,0,4,1
15,-7,0.0,66,19,Sunny,2015,1,10,5,0,0,6,2
16,-8,0.0,70,18,Sunny,2015,1,10,5,0,0,3,2
17,-9,0.0,74,16,Sunny,2015,1,10,5,0,0,1,0
18,-10,0.0,78,15,Clear,2015,1,10,5,0,0,0,1
19,-10,0.0,77,16,Clear,2015,1,10,5,0,0,1,1
20,-10,0.0,77,17,Clear,2015,1,10,5,0,0,2,0
21,-10,0.0,76,19,Clear,2015,1,10,5,0,0,0,0
22,-10,0.0,76,18,Clear,2015,1,10,5,0,0,0,0
23,-10,0.0,75,16,Partly cloudy,2015,1,10,5,0,0,1,0
0,-10,0.0,75,15,Partly cloudy,2015,1,11,6,0,0,0,0
1,-10,0.0,76,14,Partly cloudy,2015,1,11,6,0,0,0,0
2,-9,0.0,76,12,Partly cloudy,2015,1,11,6,0,0,0,0
3,-9,0.0,77,11,Partly cloudy,2015,1,11,6,0,0,0,0
4,-9,0.0,77,9,Partly cloudy,2015,1,11,6,0,0,0,0
5,-9,0.0,77,8,Partly cloudy,2015,1,11,6,0,0,0,0
6,-9,0.0,77,6,Partly cloudy,2015,1,11,6,0,0,0,0
7,-8,0.0,72,7,Partly cloudy,2015,1,11,6,0,0,0,0
8,-6,0.0,67,9,Sunny,2015,1,11,6,0,0,0,1
9,-5,0.0,62,10,Sunny,2015,1,11,6,0,0,0,0
10,-4,0.0,59,11,Sunny,2015,1,11,6,0,0,3,2
11,-2,0.0,55,13,Sunny,2015,1,11,6,0,0,0,1
12,-1,0.0,51,14,Sunny,2015,1,11,6,0,0,6,2
13,-1,0.0,55,14,Sunny,2015,1,11,6,0,0,2,6
14,0,0.0,58,15,Sunny,2015,1,11,6,0,0,4,7
15,1,0.0,61,15,Sunny,2015,1,11,6,0,0,5,3
16,0,0.0,64,14,Sunny,2015,1,11,6,0,0,10,11
17,-1,0.0,66,13,Sunny,2015,1,11,6,0,0,2,5
18,-1,0.0,69,12,Clear,2015,1,11,6,0,0,1,1
19,-1,0.0,71,13,Clear,2015,1,11,6,0,0,1,2
20,-1,0.0,72,14,Partly cloudy,2015,1,11,6,0,0,3,1
21,-1,0.0,74,14,Partly cloudy,2015,1,11,6,0,0,1,0
22,-1,0.0,74,14,Partly cloudy,2015,1,11,6,0,0,0,1
23,-1,0.0,75,13,Cloudy,2015,1,11,6,0,0,0,0
0,-2,0.0,76,12,Cloudy,2015,1,12,0,0,1,0,1
1,-1,0.0,77,12,Cloudy,2015,1,12,0,0,1,0,0
2,-1,0.1,77,12,Freezing drizzle,2015,1,12,0,0,1,0,0
3,0,0.1,78,12,Freezing drizzle,2015,1,12,0,0,1,0,0
4,0,0.1,77,11,Freezing drizzle,2015,1,12,0,0,1,0,0
5,0,0.1,76,10,Freezing drizzle,2015,1,12,0,0,1,1,0
6,0,0.2,75,9,Freezing drizzle,2015,1,12,0,0,1,4,0
7,0,0.1,79,11,Freezing drizzle,2015,1,12,0,0,1,5,5
8,0,0.4,83,13,Light rain,2015,1,12,0,0,1,5,5
9,1,0.5,86,15,Light rain,2015,1,12,0,0,1,4,3
10,1,0.3,89,11,Light rain,2015,1,12,0,0,1,1,0
11,2,1.3,92,6,Moderate rain,2015,1,12,0,0,1,1,2
12,2,1.7,95,1,Moderate rain,2015,1,12,0,0,1,3,0
13,2,0.9,96,5,Moderate rain,2015,1,12,0,0,1,0,0
14,2,0.6,96,8,Light rain,2015,1,12,0,0,1,0,0
15,2,0.8,97,11,Light rain,2015,1,12,0,0,1,0,1
16,2,0.4,96,10,Light rain,2015,1,12,0,0,1,1,1
17,2,0.9,94,9,Moderate rain,2015,1,12,0,0,1,0,5
18,2,1.2,93,8,Moderate rain,2015,1,12,0,0,1,3,4
19,2,0.6,92,11,Moderate rain,2015,1,12,0,0,1,6,9
20,2,0.1,91,14,Patchy light drizzle,2015,1,12,0,0,1,2,1
21,2,0.1,91,18,Patchy light drizzle,2015,1,12,0,0,1,1,4
22,1,0.1,89,16,Patchy light drizzle,2015,1,12,0,0,1,0,0
23,1,0.2,87,15,Patchy heavy snow,2015,1,12,0,0,1,1,0
0,0,0.4,85,13,Patchy heavy snow,2015,1,13,1,0,1,1,0
1,0,0.2,84,17,Patchy heavy snow,2015,1,13,1,0,1,0,0
2,-1,0.0,83,20,Partly cloudy,2015,1,13,1,0,1,0,0
3,-1,0.0,82,23,Partly cloudy,2015,1,13,1,0,1,0,0
4,-2,0.0,82,22,Partly cloudy,2015,1,13,1,0,1,0,0
5,-3,0.0,82,20,Clear,2015,1,13,1,0,1,1,0
6,-5,0.0,82,18,Sunny,2015,1,13,1,0,1,6,1
7,-5,0.0,78,22,Sunny,2015,1,13,1,0,1,6,1
8,-5,0.0,73,26,Sunny,2015,1,13,1,0,1,8,6
9,-5,0.0,69,29,Sunny,2015,1,13,1,0,1,5,3
10,-5,0.0,67,26,Sunny,2015,1,13,1,0,1,1,1
11,-5,0.0,65,22,Sunny,2015,1,13,1,0,1,0,0
12,-5,0.0,62,18,Sunny,2015,1,13,1,0,1,1,1
13,-5,0.0,63,21,Sunny,2015,1,13,1,0,1,1,4
14,-5,0.0,63,23,Sunny,2015,1,13,1,0,1,3,4
15,-6,0.0,63,25,Sunny,2015,1,13,1,0,1,3,5
16,-6,0.0,66,20,Sunny,2015,1,13,1,0,1,3,1
17,-7,0.0,68,15,Sunny,2015,1,13,1,0,1,5,6
18,-8,0.0,71,10,Clear,2015,1,13,1,0,1,3,7
19,-8,0.0,67,13,Clear,2015,1,13,1,0,1,5,3
20,-7,0.0,63,16,Partly cloudy,2015,1,13,1,0,1,1,1
21,-7,0.0,59,19,Partly cloudy,2015,1,13,1,0,1,0,0
22,-7,0.0,61,19,Partly cloudy,2015,1,13,1,0,1,0,0
23,-7,0.0,62,18,Clear,2015,1,13,1,0,1,0,0
0,-7,0.0,63,18,Clear,2015,1,14,2,0,1,0,0
1,-7,0.0,64,18,Clear,2015,1,14,2,0,1,0,0
2,-7,0.0,64,19,Partly cloudy,2015,1,14,2,0,1,0,0
3,-7,0.0,65,20,Partly cloudy,2015,1,14,2,0,1,0,0
4,-7,0.0,65,19,Partly cloudy,2015,1,14,2,0,1,0,0
5,-7,0.0,65,18,Overcast,2015,1,14,2,0,1,1,0
6,-7,0.0,66,17,Overcast,2015,1,14,2,0,1,2,2
7,-6,0.0,68,18,Overcast,2015,1,14,2,0,1,7,4
8,-5,0.0,69,19,Partly cloudy,2015,1,14,2,0,1,7,5
9,-4,0.0,71,20,Partly cloudy,2015,1,14,2,0,1,3,4
10,-3,0.0,69,18,Partly cloudy,2015,1,14,2,0,1,3,0
11,-2,0.0,67,16,Partly cloudy,2015,1,14,2,0,1,0,2
12,-1,0.0,65,14,Partly cloudy,2015,1,14,2,0,1,1,4
13,-1,0.0,65,14,Partly cloudy,2015,1,14,2,0,1,2,0
14,-1,0.0,65,13,Partly cloudy,2015,1,14,2,0,1,2,2
15,-1,0.0,66,12,Partly cloudy,2015,1,14,2,0,1,0,2
16,-1,0.0,68,12,Partly cloudy,2015,1,14,2,0,1,3,1
17,-1,0.0,70,11,Sunny,2015,1,14,2,0,1,4,13
18,-2,0.0,72,11,Clear,2015,1,14,2,0,1,6,10
19,-2,0.0,73,12,Clear,2015,1,14,2,0,1,4,3
20,-2,0.0,74,13,Partly cloudy,2015,1,14,2,0,1,0,2
21,-3,0.0,75,14,Partly cloudy,2015,1,14,2,0,1,2,0
22,-3,0.0,76,13,Partly cloudy,2015,1,14,2,0,1,1,0
23,-3,0.0,76,11,Clear,2015,1,14,2,0,1,0,0
0,-3,0.0,77,10,Clear,2015,1,15,3,0,1,0,0
1,-3,0.0,78,12,Clear,2015,1,15,3,0,1,0,0
2,-3,0.0,78,13,Clear,2015,1,15,3,0,1,0,0
3,-3,0.0,79,14,Clear,2015,1,15,3,0,1,0,0
4,-3,0.0,79,12,Clear,2015,1,15,3,0,1,1,0
5,-3,0.0,78,11,Clear,2015,1,15,3,0,1,0,0
6,-4,0.0,78,9,Sunny,2015,1,15,3,0,1,4,0
7,-3,0.0,75,10,Sunny,2015,1,15,3,0,1,7,5
8,-3,0.0,73,11,Sunny,2015,1,15,3,0,1,12,8
9,-3,0.0,70,12,Sunny,2015,1,15,3,0,1,8,6
10,-1,0.0,64,12,Sunny,2015,1,15,3,0,1,4,1
11,0,0.0,59,13,Sunny,2015,1,15,3,0,1,2,0
12,1,0.0,54,14,Sunny,2015,1,15,3,0,1,1,2
13,1,0.0,57,15,Sunny,2015,1,15,3,0,1,3,5
14,1,0.0,60,16,Patchy snow possible,2015,1,15,3,0,1,2,3
15,0,0.0,63,17,Patchy snow possible,2015,1,15,3,0,1,4,6
16,0,0.0,65,16,Patchy snow possible,2015,1,15,3,0,1,6,2
17,-1,0.0,67,15,Sunny,2015,1,15,3,0,1,9,6
18,-1,0.0,69,14,Clear,2015,1,15,3,0,1,8,9
19,-1,0.0,67,15,Clear,2015,1,15,3,0,1,7,6
20,-1,0.0,65,16,Clear,2015,1,15,3,0,1,1,0
21,-1,0.0,63,18,Clear,2015,1,15,3,0,1,4,2
22,-1,0.0,62,18,Clear,2015,1,15,3,0,1,0,3
23,-1,0.0,61,19,Clear,2015,1,15,3,0,1,0,0
0,-1,0.0,60,19,Clear,2015,1,16,4,0,1,1,0
1,-1,0.0,65,21,Clear,2015,1,16,4,0,1,0,0
2,-1,0.0,70,22,Clear,2015,1,16,4,0,1,0,0
3,-1,0.0,75,24,Clear,2015,1,16,4,0,1,0,0
4,-1,0.0,76,21,Clear,2015,1,16,4,0,1,0,0
5,-1,0.0,77,19,Clear,2015,1,16,4,0,1,1,0
6,-1,0.0,78,17,Sunny,2015,1,16,4,0,1,2,0
7,0,0.0,74,21,Sunny,2015,1,16,4,0,1,8,3
8,0,0.0,69,25,Sunny,2015,1,16,4,0,1,5,9
9,1,0.0,64,29,Sunny,2015,1,16,4,0,1,5,5
10,2,0.0,59,28,Sunny,2015,1,16,4,0,1,1,3
11,4,0.0,55,27,Partly cloudy,2015,1,16,4,0,1,4,0
12,5,0.0,51,27,Partly cloudy,2015,1,16,4,0,1,3,3
13,4,0.0,52,30,Partly cloudy,2015,1,16,4,0,1,3,3
14,3,0.0,54,33,Patchy light snow,2015,1,16,4,0,1,2,8
15,2,0.0,55,36,Patchy light snow,2015,1,16,4,0,1,5,6
16,0,0.0,55,35,Patchy light snow,2015,1,16,4,0,1,4,6
17,-2,0.0,54,34,Sunny,2015,1,16,4,0,1,4,7
18,-3,0.0,54,33,Clear,2015,1,16,4,0,1,5,3
19,-4,0.0,53,33,Clear,2015,1,16,4,0,1,0,3
20,-5,0.0,52,33,Clear,2015,1,16,4,0,1,0,2
21,-5,0.0,51,33,Clear,2015,1,16,4,0,1,1,0
22,-6,0.0,52,30,Clear,2015,1,16,4,0,1,0,1
23,-6,0.0,52,27,Clear,2015,1,16,4,0,1,0,0
0,-7,0.0,52,23,Clear,2015,1,17,5,0,0,0,0
1,-7,0.0,52,22,Clear,2015,1,17,5,0,0,0,0
2,-7,0.0,52,21,Clear,2015,1,17,5,0,0,0,0
3,-8,0.0,52,19,Clear,2015,1,17,5,0,0,0,0
4,-8,0.0,53,18,Clear,2015,1,17,5,0,0,0,0
5,-8,0.0,53,16,Clear,2015,1,17,5,0,0,0,0
